,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.20400000000000001,97.52466389149859,82.9031431306199,85.40609488266011,86.84275648786796,84.01886241022393,3.318801667961805,14.1140625,8.919218454846284e-06,87.8201,83.77880852812594,87.20130121589607,88.64567371458008,90.8336521497991,92.66260047712787,66.52757508624221,84.73697719909813,88.97583342226753,91.72901199914165,92.36282508446565,76.40913473436679,89.81885796545107,88.32153425478518,89.96345980578637,92.96654665466545,59.02391337043165,8.100096015362457,3.989195530878682,2.0228187248506657,1.1832510269072785,1.298647041809943
1,AL-VarUncertainty-LB-b0.2-,0.20400000000000001,97.8040503746756,87.23523568684797,88.35748576508236,89.06711006343347,87.66316455271263,2.7195024352412256,14.3546875,1.0706449050404546e-05,89.96549999999999,86.67234121901012,89.46435127912015,89.70692286406424,93.11493434971742,94.11083947685574,75.08996267413823,87.70367563015772,90.7096354182698,93.34230100396366,94.35299569558775,79.22694256918847,91.3180782149712,88.7271978124883,92.90369406346981,93.87038703870388,71.49646563392992,6.433179308689391,3.308868668403749,1.6539201719527132,0.8643328564175936,1.3372111707426808
2,AL-RandVarUncertainty-LB-b0.2-,0.20400000000000001,97.471081923117,82.9070987759768,85.06040001148577,86.33237457634121,83.82892422679231,3.4423208208333342,14.3734375,1.0107422512697263e-05,87.3463,83.15403365316577,86.84717277595793,88.13252745424316,90.08086766555728,92.03609951931183,67.3231559346654,84.17008686910282,89.15675766203337,90.77393464557596,92.16238881998223,75.39870488501164,89.71299184261035,87.1367569389819,89.4038442286515,91.91494149414942,60.976086629568364,8.45235237638022,3.862597710871315,2.268126265277049,1.2039045553145338,1.4246231963235532
3,AL-SelSampling-LB-b0.2-,0.20397300000000004,97.48838801883812,83.70993751095085,85.55729961479287,86.68805304958838,84.45968751947595,3.3498149803841115,16.0984375,1.1480424908869381e-05,87.66999999999999,83.59287577151667,87.24989214076149,88.21059503997063,90.41596096801646,92.0849412224924,69.1450579645776,84.81795715708496,89.01596129199004,91.22331331355981,92.38321394250413,75.99981954280295,89.84105086372361,87.42180769374836,89.63259585544098,91.79792979297929,63.605053391487445,8.065290446471435,3.928625022168261,2.152158156506961,1.1660589837079431,1.4369422930659552
4,AL-FixedUncertainty-BOLE-b0.2-,0.20400000000000001,92.88125786489736,62.229353043738236,71.31073738004564,74.05467735865841,68.76391837845358,6.586821465912922,14.23125,3.0597342314043395e-06,75.8467,67.62208661210923,76.05828942092224,78.18108384164687,76.72968789533212,83.38057159540548,33.06339965480724,73.17668869588309,75.94801542077627,79.87153294853292,79.55944364505658,61.71770608304321,79.17856285988485,80.55661684833501,73.849734708179,87.62526252625263,22.609414949616486,14.519923187710038,9.299755808084253,4.637599660093475,3.4769465085152538,0.9998821651615944
5,AL-VarUncertainty-BOLE-b0.2-,0.20400000000000001,91.03281166806826,67.35467132202433,73.9008226364969,76.52908738138976,71.44752757476103,6.23473264717137,15.2515625,3.1395715680749465e-06,77.39200000000001,69.67208767749617,75.74600001687051,79.65013465724249,78.94321879103462,88.18049016086603,42.11449241226795,71.84381521763592,78.38640232549201,82.30921300130532,87.9198147713894,62.18619159112617,80.10376679462573,80.96190583211595,75.87696466112725,88.44359435943595,31.851406226500227,15.707063130100817,8.134319195667299,4.083002174402038,1.8694327779572624,1.3798459577294298
6,AL-RandVarUncertainty-BOLE-b0.2-,0.20400000000000001,92.77902569690795,63.61867700881022,72.16041627506777,74.89959232874882,69.61725616373376,6.416545187947795,15.5140625,3.3528172805543165e-06,76.4641,68.46822277314206,76.45168840513739,78.74087798954555,77.51250938195973,84.08807606458228,35.22753533030925,73.84282937527647,76.45361092868522,80.25424735222205,80.40254526200911,63.54472872555125,79.26163627639156,81.17391467206053,74.98998898788668,88.16081608160815,24.49992480072191,14.060249639942393,9.108358457361907,4.595611206918098,3.3169105090690914,1.001596126447494
7,AL-SelSampling-BOLE-b0.2-,0.20399899999999999,93.34081877595331,66.44761438405692,73.4172788628767,75.81953824633503,71.17699875708688,6.155642366097938,16.0984375,3.490083204168412e-06,77.3821,69.7469903779634,77.0702166695375,79.30664100302965,79.14391203182092,85.00245800040419,39.65270949085812,74.73001171741815,77.42873484880313,81.59228070226942,81.50442481309781,63.84223915008666,79.57443618042228,81.28741057047607,76.84753228551406,88.84338433843384,29.33223041058806,13.47605616898704,8.640437635567439,4.3228112269126,3.1125674989615546,1.2263393000610598
8,AL-FixedUncertainty-DACC-b0.2-,0.20313499999999998,67.59735030829376,33.96721269083939,47.234546937001305,50.71709332624637,44.20765006201263,12.93687399932395,7.9328125,5.78928674157295e-07,53.71690000000001,36.30411148062525,59.06644989985561,53.69320073621812,52.67480610106561,53.15736081285219,8.974191718958668,50.05592661417026,54.70028689612716,59.451723137980174,69.92344998446546,19.454079998488748,72.13981525911707,52.789077424429706,47.347081789968975,42.91929192919292,5.84298390735449,36.10762722035526,15.939047515108523,8.074529504386295,2.8394563160566757,1.723709440713008
9,AL-VarUncertainty-DACC-b0.2-,0.20400000000000001,69.68324223301339,35.267086229854236,48.11521689741251,50.906591552483306,45.61426679690065,12.530933210312131,7.8921875,5.695110691400866e-07,54.8112,38.177350251947175,59.79606521647505,55.33398096562712,54.018368059634305,55.33227240765291,9.218615962178367,52.474824777094895,54.039059904727594,58.71809699324766,69.82950715464028,19.47146893270611,69.49346209213053,56.69475971082894,50.01801982180398,45.82358235823583,6.041510001503985,31.484937590014404,17.563537645116845,8.780085476493962,3.046799280011077,1.7793060599243709
