,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.20400000000000001,97.80529825203071,87.75516921768472,87.49440522973842,87.04780611612635,87.94569172054383,3.3031578357412377,13.0046875,8.672960193103385e-06,87.21209999999999,83.56048459426755,86.37297874378115,80.64070046338574,85.90122556999265,92.35379008773828,91.72110608870781,87.81268420325067,82.48264561705965,81.77787739342844,88.90361368388446,94.26220968300854,84.98203700377223,78.88231780167264,90.46436478965951,96.08361581920903,89.31612318840578,5.915643112405777,3.369805428777324,4.04483185054449,1.8359181320265208,1.3495906549520769
1,AL-VarUncertainty-LB-b0.2-,0.20400000000000001,98.27003900370389,90.52971804738705,90.38891843287118,90.14600613174426,90.63319174584424,2.4860436725078197,12.95,8.163875554196744e-06,90.37190000000001,87.60198128887666,90.38144298023423,85.85395061529432,88.44201284618818,92.90371445209566,94.02818276919233,90.98204743111386,88.8341764713606,85.47541643528638,90.02993492244349,95.40845539851699,89.79073109394648,83.07586618876942,91.63425288731972,95.9743879472693,92.69072061191626,4.465149103576684,2.1012490992073025,3.1275438533299713,1.6291726722398387,1.1071036341853036
2,AL-RandVarUncertainty-LB-b0.2-,0.20399899999999999,97.82442823076913,87.6822386198359,87.55337659849226,87.277069251881,87.83153118334401,3.281459040964132,12.9265625,1.0258970985887572e-05,87.3509,83.71647943586898,86.86255425880148,81.62758886079804,85.83737390244578,91.86137623737679,91.17199003305534,87.53075031870772,84.03899258362517,82.13916648320294,89.08050168804691,93.59593518582236,86.20861026285851,79.35483870967741,89.89228651786247,94.82561205273069,88.876308373591,6.164899846842247,3.030026423252462,3.9233272100757595,1.7804554626693574,1.5085862619808306
3,AL-SelSampling-LB-b0.2-,0.20399599999999998,98.0557953486381,88.69304117880297,88.64536817994902,88.4674675914564,88.82412591103957,3.0065123869165618,14.41875,1.1207807204401533e-05,88.4421,85.11171641141898,87.95444679787701,83.25449457419961,86.80682775744958,92.7410124190299,92.07368248643233,88.32360090602354,86.14613463642834,82.97369207639179,90.62546336512597,94.26844697331235,87.59445542183104,80.55973715651136,91.01430195679492,94.96723163841807,89.98490338164251,5.815640109312593,2.6052125870766276,3.7483941456855043,1.506486019025656,1.3568290734824282
4,AL-FixedUncertainty-BOLE-b0.2-,0.20400000000000001,96.06343261057377,81.71086866858072,82.11305043768155,82.12341756954535,82.10270957395407,4.759534009814862,14.51875,3.1450133376185678e-06,81.88220000000003,76.60834843636817,81.18917776108222,70.3220206761872,81.91841377246672,88.62428846168098,88.04764283541168,79.97575084067132,72.80731979650461,80.08190691396418,85.50498770103643,92.24712259555017,82.44117118735404,68.01911589008363,83.84656812877745,91.99020715630886,84.21648550724638,10.354064686627225,5.111698294499159,4.183625688866478,2.391467281637359,1.7568140974440893
5,AL-VarUncertainty-BOLE-b0.2-,0.20400000000000001,93.51602147539421,78.74598319984044,79.08388008656266,78.86596833248089,79.30310911220877,5.415195588828531,16.08125,3.0658568494901473e-06,79.1599,73.13799557186482,79.6704866932242,68.91416206183769,73.67218162330303,84.50916426309564,87.52468363019011,78.99309270929277,73.52299934448493,72.67385046735323,77.64986863924733,91.49003050202607,80.36165499071913,64.8536439665472,74.7004966788343,92.71035781544256,83.8893921095008,10.719390972701882,4.697213547922171,5.6350778614222765,4.089017007783223,1.9352785543130993
6,AL-RandVarUncertainty-BOLE-b0.2-,0.20399899999999999,95.69417274677738,80.74869399973842,81.21219740079411,81.23026138750268,81.19421683998249,4.978844036032918,16.2015625,3.280162730435323e-06,81.0393,75.51341706667674,80.56728276116455,69.1841168783415,79.74700747645643,87.91924057942785,88.06142776926414,79.13750094787392,71.93340700074252,78.57420713361672,83.94067505563417,92.56551679964613,82.05317046883421,66.64755077658303,80.96822452276942,92.31864406779661,83.98349436392914,10.857533259257035,5.2257987028585156,4.4241136284503355,2.712827904295186,1.6739466853035143
7,AL-SelSampling-BOLE-b0.2-,0.20399899999999999,96.1163288702064,82.14899791729768,82.54144417386102,82.54718064679676,82.53583243659548,4.635027815615027,16.84375,3.548427122748561e-06,82.34620000000001,77.20924193845062,81.68968277223624,70.69116747291224,82.1446899923369,88.79897801063272,88.94410622522658,80.53796168610809,73.13812433257405,80.36411040762843,85.73184454065658,92.9638622670166,82.87767199568887,68.41875746714456,84.0123272096224,92.10621468926554,85.26419082125604,10.0489504189315,5.053927456161422,4.119031324664721,2.3519169789564716,1.6013128993610224
8,AL-FixedUncertainty-DACC-b0.2-,0.20390099999999997,75.66771324477226,50.42748200820021,54.62633334261439,57.87360325967192,51.73344930563405,12.082222587289312,8.0609375,5.881239841174748e-07,55.3135,40.76737537922888,59.28050033459154,42.37542830876096,46.256879952096924,55.19785256418062,65.15759134760735,51.609393107259564,44.569569305591514,52.1573092431722,72.6314590623944,68.40028557994188,69.72845937369019,40.49402628434887,41.649213093172165,44.54011299435028,62.2554347826087,32.88567224240968,10.134037953398991,7.680125826939933,2.570077832228308,7.141199081469648
9,AL-VarUncertainty-DACC-b0.2-,0.20400000000000001,77.48206575749215,51.950444452144545,55.4895164925332,58.15205413822522,53.06052133178419,11.757480865279588,8.0546875,5.813323271771272e-07,56.198800000000006,42.23724059460517,59.91540137514977,43.71055325914485,47.09819349424026,56.751316177673516,66.31482727186399,53.30033985040494,44.70708657926885,52.10220630701127,72.37737489233234,68.27326306210871,68.40817915094905,42.76284348864994,42.97648255639998,46.687005649717506,64.46809581320449,30.06426619418001,10.635959644487148,7.929018237702458,2.7280484289420586,7.430111821086261
