,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.20400000000000001,97.34529274536985,84.1177535931975,87.16582849293677,89.4441031741362,85.00179926518514,2.9431278472713367,13.6765625,9.580642120757451e-06,89.3999,85.53055506408484,89.83133007254347,73.55591315912154,87.70394224135856,90.75386986520822,91.7484726260748,89.73432650639772,89.3418008692895,87.4135075927525,91.73352338922004,88.99735751302129,89.93252159309023,62.57377049180328,88.01914304942795,89.80472841538231,94.67883277622187,5.150774123859818,0.5361775109872442,1.9580500305909243,1.2484705773714706,5.822166993547228
1,AL-VarUncertainty-LB-b0.2-,0.20400000000000001,97.208678195856,86.3725521919751,88.70423804549432,90.69605896158166,86.80032128993412,2.69756146584396,14.24375,1.068228347382198e-05,90.3395,86.81613240307647,90.55635065586462,79.84988747988886,88.10662549470466,91.38515963097257,92.4171112454749,90.18278097171789,91.18349800992361,88.90843420018565,93.4002263650969,89.80535526098429,90.94319817658348,71.06706408345754,87.33791968892544,89.46506060152626,95.18836389917789,4.959343494959193,0.4948011576803516,1.6829625867223843,0.975136782325646,5.375563307532227
2,AL-RandVarUncertainty-LB-b0.2-,0.20400000000000001,97.73181135665148,84.2783522423717,86.87696315071248,88.77208943461399,85.06418831228169,2.9988539266458316,13.9578125,1.0698486132443779e-05,89.18190000000001,85.24353974438858,89.8450422095895,72.87070975181344,88.48957430402791,90.49372786165958,91.07179203903682,90.3711271581559,85.24761787351642,88.03023807354377,92.23292821753729,87.9785358503166,89.32971449136278,63.81520119225037,88.96283556419652,88.82014065539427,94.39304965820459,4.764462313970236,0.7920463072140638,1.868586006672285,1.1542812290786526,6.414893776293924
3,AL-SelSampling-LB-b0.2-,0.20398299999999997,97.77867522322221,84.87847764012488,87.29873981796091,89.10623247419002,85.56706545707273,2.9299710883421604,15.821875,1.2609988612691977e-05,89.4386,85.59817862443332,89.841965841252,74.19451367942175,88.74827884401932,90.93486061116583,91.35895875475958,90.2828214706199,85.75800443771251,88.29686708131374,92.7585847774725,88.43488460383143,89.41428742802303,65.54098360655738,89.20885366036042,89.18449797994911,94.48670461047371,4.820121219395103,0.7828277414513881,1.826451337342861,1.0747512523951335,6.145703891126315
4,AL-FixedUncertainty-BOLE-b0.2-,0.20400000000000001,94.3703148818669,68.77167132504408,75.29633255846935,77.94591991402737,72.82503587620613,5.492565809090154,14.8109375,3.07715410276109e-06,80.35390000000001,72.98989696145819,81.46984202332146,43.191543818213006,76.18011320382259,87.32275086354596,83.47179320798102,78.83328997230775,62.712666372492244,80.43498446496379,86.57979185332356,81.16886690704942,84.31711852207293,33.214605067064085,72.53196739699395,88.14978303157264,85.911705363327,11.370019203072491,1.3832136349019188,2.6596788530134945,2.1389985456056513,9.910918808857215
5,AL-VarUncertainty-BOLE-b0.2-,0.20400000000000001,89.8065878787173,63.78672510898976,71.99628146317517,75.9028216881405,68.47268723306786,6.458150331114458,15.80625,3.3317602614665192e-06,77.10040000000001,68.34283192956607,77.78495252996728,39.70827235048546,69.44781226493777,84.18245255914208,81.69222392849372,74.15658476912691,65.73156711873659,74.6256006485136,86.47542805456548,78.52492784975985,81.78892754318619,28.464977645305517,64.95999401779704,82.02079904234624,85.12873791670431,14.259631541046568,1.063458034087255,3.411638403730939,1.979361451624074,11.576662225083467
6,AL-RandVarUncertainty-BOLE-b0.2-,0.20400000000000001,91.8238291362674,61.35076925081362,69.82609680880255,72.85257937369491,67.0435522325606,6.7445343576519905,16.1140625,3.180610468714602e-06,75.82070000000002,66.65990764761813,77.22054783888659,35.01556831913987,65.4013155622929,83.18418334392346,80.76988103646437,73.96595183811564,59.571523104181054,71.8117102580492,80.55105940503378,78.3626522630949,80.78274952015354,24.97019374068555,60.103940776190825,86.02573694448601,83.33514018128707,14.23577772443591,1.203451602529746,3.6127304420099966,3.2205600572523485,11.45015196203195
7,AL-SelSampling-BOLE-b0.2-,0.20399899999999999,92.8867035414835,64.97999645821498,72.63327354314623,75.61014794690111,69.88429325701276,6.129570482735882,16.7796875,3.33343001936252e-06,78.0568,69.7835653654667,79.10522073676736,38.91371548343778,71.13460096949287,84.94249562721816,82.23068709955463,76.11651911438624,62.83969673730419,75.91325417224846,83.23997633042167,79.94129338014497,82.3494481765835,28.54992548435171,67.03357511403576,86.83076462666467,84.6577528834282,12.961023763802208,1.1567156179654838,3.2194350491186348,2.748343606436272,10.562334376356803
8,AL-FixedUncertainty-DACC-b0.2-,0.19815299999999997,66.9842653140345,32.01439044080693,46.50701388372386,51.178833502851056,42.649570467980766,12.9177685067028,7.8671875,5.726472364686844e-07,55.1696,36.17639978876853,59.49624012640652,8.982599989335052,40.03044174047393,50.88761563619917,61.49734999604249,54.53389897524836,20.86192311194844,54.81525072599393,70.53673587736765,55.14635882369688,65.88801583493282,5.76602086438152,31.665295745158154,39.94538380966632,69.98313608576504,27.537956072971678,1.5743380855397149,4.02380320223487,2.58085740009696,28.87188777267079
9,AL-VarUncertainty-DACC-b0.2-,0.20400000000000001,69.22306529265752,33.55885652482607,47.86225197945844,51.99122361095001,44.34176403429735,12.363595621627823,7.921875,5.702168208598678e-07,56.911500000000004,38.87652455432841,61.57059836000574,9.505353751475713,42.057626518056374,52.85623601588096,63.2600794945035,56.05438235303027,21.85778278812131,54.71143666317414,70.12173383149066,57.21078241893364,68.29384596928982,6.0774962742175855,34.16510880131608,42.42855005237168,70.74381907429157,26.78528564570331,1.5651195197770396,4.368845740935274,2.7916291525267214,26.307098049196775
