,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.20399799999999998,98.25190931865464,90.19721326862924,90.12916641924882,89.984105733929,90.27477239392995,2.562279819629974,12.3875,7.3117266810085215e-06,90.02879999999999,87.16581101828729,90.54854656425755,88.87422415303368,87.91488936513814,92.54135777928323,90.20255910210733,92.06615045574871,94.48467616219916,85.35274268131823,90.74382815464038,87.27313121573843,89.0820908927609,83.89951009678575,90.63790317754771,94.41280602636536,93.34155177618999,3.851166701702754,0.9852033340539503,3.1214205957569425,1.4744306716633035,3.379177794972918
1,AL-VarUncertainty-LB-b0.2-,0.20400000000000001,98.3161871883935,91.55191141526888,91.4524183114223,91.30327045685797,91.60221822274261,2.2290835634957,12.8296875,9.17673300136812e-06,91.3425,88.85394311408452,91.55602787515583,90.87574764005903,89.49334095612835,93.26321205335145,91.6452585288082,92.83379222002836,95.68651855747112,87.08823456920268,91.49407936662655,89.41372757096116,90.31974133285432,86.54080535308879,92.03997367003771,95.10433145009418,94.00623930763811,3.499804798942911,0.7840311306478346,2.73877702937963,1.3541654655520323,2.7686393929560937
2,AL-RandVarUncertainty-LB-b0.2-,0.20400000000000001,98.3382461404329,90.35195484922414,90.27586633006506,90.14339466537545,90.40884309370458,2.542246579073832,12.7484375,8.821027343704675e-06,90.15329999999999,87.32141039784247,90.28544630016577,89.65040326961066,87.76444828007556,92.3716672706523,90.87397059901507,91.44051740106686,94.60774948885471,85.35876408191739,90.56835130400142,88.74159105103696,89.1635231423268,85.19237662803202,90.31655795583747,94.25160075329566,93.1201569890309,4.18736298387339,0.9769162403016983,3.109414208358847,1.5029115018737387,2.9346279609614863
3,AL-SelSampling-LB-b0.2-,0.20398700000000006,98.34894370137167,90.62165041617877,90.57740763310193,90.4758660247725,90.6792830661739,2.4731429901495594,14.29375,9.43796221852406e-06,90.4441,87.69167572064296,90.49104161357248,89.85625678462175,88.24129305174108,92.6773322139146,91.2008508689287,91.41949051105588,94.84216891883358,86.09138635321648,90.83535422640153,89.1909301143551,89.58535417040893,85.37698649778945,90.51403267308957,94.59962335216572,93.32041863741573,4.220096699600589,0.9341596406523985,2.9366422937002485,1.4617469011242432,2.813069415670319
4,AL-FixedUncertainty-BOLE-b0.2-,0.20400000000000001,96.72009753250211,84.99434704348307,85.40178075060217,85.69316752898703,85.1125399097732,3.9266928122626963,13.3796875,3.107995412493538e-06,85.1254,80.77322062088366,84.89565944433973,82.62082421327985,83.47094670957034,90.1772661140548,85.46875941572848,83.66460599177378,88.02134385013437,83.62443930942126,89.00560452745783,84.14984396614791,86.16609783845279,77.8527900585494,83.3259529651128,91.38380414312617,86.83405454362483,8.438241388630288,2.133506281376859,3.2747421628306257,1.729489766503315,4.057484461972392
5,AL-VarUncertainty-BOLE-b0.2-,0.20400000000000001,94.21038740986279,81.17424376558841,81.46954466795027,81.57557642464477,81.3639709801879,4.929749817389336,15.45,2.925790636153477e-06,81.21310000000001,75.73701778116316,81.40062168413859,80.15929790618239,77.11941221303707,87.23398171518743,80.92021682409002,80.46608013840113,85.2574066257229,78.45696257157631,83.74607850554385,79.95135428197969,82.35973893778815,75.64105627912535,75.85063730476932,91.05386064030132,81.91456173895543,10.030631550497011,2.629650981239941,4.177982686789372,2.7151340443931966,5.095349824027158
6,AL-RandVarUncertainty-BOLE-b0.2-,0.20400000000000001,96.4112280284156,84.53630590795724,84.98036299422236,85.27468553248842,84.68819826934146,4.042946598812429,15.5390625,3.3371522472912655e-06,84.6949,80.21180505998139,84.50276986615802,81.92346842954032,83.35704132549236,89.73381754506347,84.86374274224578,83.0723887004919,87.94161623567496,84.23110824175458,87.50563002373062,83.62268446079007,85.98766540925693,76.6841916596965,82.52647956435881,92.090395480226,86.15225923316896,8.794107931169105,2.1162114770243323,3.0986084597005608,2.0175266647448837,4.188278461423259
7,AL-SelSampling-BOLE-b0.2-,0.20399899999999999,96.36478411517741,84.58808284656759,84.96638804507327,85.20499193062791,84.72916522572811,4.016572128243819,16.134375,3.494856856478792e-06,84.7616,80.30454502769467,84.68865128981749,81.79891645303948,83.37894675855122,89.11334741158234,85.39112740462983,83.37590041349065,87.3462743185626,84.1736052640282,86.72000955086259,84.40917010619556,86.04454823064486,76.92018162265502,82.61145353360061,91.660263653484,86.40937908825603,8.606714916363854,2.24243952823617,3.1151772743099326,2.1558950706255406,3.9626338516835986
8,AL-FixedUncertainty-DACC-b0.2-,0.20397300000000002,76.76119640366537,51.99942606227496,55.72211269224639,58.75402429153561,52.99024626248725,11.769029257290637,8.15,5.936330126132816e-07,56.31390000000001,42.23776653137428,60.86356881199889,52.41866370622065,47.036127275525374,55.8777878473155,57.56465277716111,53.82116208251102,58.07333301297648,54.24654189824925,72.3257008490002,55.303383614941104,70.0467037901922,47.801409965348306,41.5289330381186,45.54952919020717,60.02465532857,30.163668578636,6.94374384473109,7.0285391828452735,2.671778610550591,12.037416069690236
9,AL-VarUncertainty-DACC-b0.2-,0.20399899999999999,77.94122063826411,53.12267627118688,56.41714608591737,59.09885981390636,53.96890373534931,11.519707801210076,8.075,5.841786753282779e-07,57.045899999999996,43.37871096793816,61.54122122306942,53.52402051637159,48.17528346050456,56.56576989681334,58.16823482369148,55.17533553601932,58.150695761800854,54.23037567832898,72.20363839342642,55.73425369995626,69.57397760613136,49.591349026168,43.34450362036982,46.50395480225989,60.830733621817444,28.352352923511216,7.1779443203382085,7.342146021683535,2.740847506486019,11.9852482340314
10,AL-RandVarUncertainty-DACC-b0.2-,0.20400000000000001,76.5983231007598,49.92040087076862,53.75285962137036,56.721479662248214,51.07975972629457,12.196376031375262,8.075,5.804441300117306e-07,54.65880000000001,40.01794296090604,59.910089295566344,49.96770739109123,44.83315043001964,52.12444334607535,56.73153026745987,52.835869453769966,53.27113434261101,52.0017554526702,70.2617205248064,55.236918537383474,69.17370217352254,47.06356792926276,39.40458380707319,41.441054613935975,58.31589010767838,30.970449563049936,8.304148350988445,7.297362196688638,2.6868838281925624,11.723036217956716
11,AL-SelSampling-DACC-b0.2-,0.20398100000000002,76.55080907925151,50.11727307008872,53.78789586846479,56.599710868642454,51.24268010889116,12.157923393087746,8.3671875,6.265603199911615e-07,54.73300000000002,40.17530788860985,59.99972116289124,49.82664033216373,44.679136701775164,52.56435200453906,57.0232479335275,53.119379512140924,52.380156238129686,51.92345467061764,69.85702406557985,55.71853985674418,68.93120172444765,47.51702712390967,39.22087247920531,42.145386064030134,58.398913152863045,30.514580017417938,8.686435588864068,7.289918236501817,2.784318247333526,11.514364875321371
12,AL-FixedUncertainty-ARF-b0.2-,0.20399599999999998,97.01220308568568,82.27972202249525,83.52775313996605,84.39822793568231,82.67620115723085,4.527790875821303,7.0734375,7.122357941827633e-06,82.7294,77.6847039091771,83.61578460227446,86.04255673504375,79.55741489779857,85.09820866387307,79.58227868326011,82.70035674163917,96.41230992385145,91.56860264817203,77.76816589512102,73.54170446962789,84.55990659241962,77.71717051021628,70.424271437975,93.96082862523541,86.71882862030795,8.87444067389411,0.5859816002498138,1.314459292343527,4.114153934851542,7.749918877767516
13,AL-VarUncertainty-ARF-b0.2-,0.20400000000000001,97.42519018788698,87.44646692090842,87.72386659584015,87.92694934559866,87.52216637812647,3.3363665528129856,7.2640625,7.4962044244683875e-06,87.2766,83.58482670619216,87.02733317589657,89.45845734722943,87.44688999518279,88.72703922299505,84.91577600428842,86.8124994748424,95.83643287635343,91.09890116601154,84.03882579256017,81.84808741822583,87.25794862583079,83.88576890906918,84.16312608461493,94.03992467043315,88.2640636006843,6.656956665365326,0.7340683625183156,1.6585623551729523,2.7577976362063996,4.874447744801937
14,AL-RandVarUncertainty-ARF-b0.2-,0.20400000000000001,97.14161994627023,84.18237125491842,84.9403147193917,85.4588632763914,84.42862297118374,4.100613340339063,7.0828125,6.583059455604397e-06,84.3662,79.81106154952951,84.69851119477843,87.80242112227356,82.1346777411107,85.59657665226571,82.05330136553897,83.81842348539381,95.20391944703708,91.69199601725538,78.59380022853198,77.98617720373882,85.61134063828513,81.49719201816228,74.43899228053378,93.98041431261771,86.61517560631981,8.296795699570557,0.830390814537244,1.3614042670700814,3.9218218506774276,6.092654069840003
15,AL-SelSampling-ARF-b0.2-,0.203987,97.10606259357,84.21209339757714,84.95699825478528,85.4637246909238,84.45799700134631,4.08706534670262,7.353125,7.069649634003226e-06,84.4109,79.8678244477893,84.85319849015349,87.90219587500438,81.96953810654226,85.65655207214498,82.02270229849653,83.95111611901629,95.47287323097268,91.2004477478667,78.62493748913259,78.0692488676308,85.78767738458774,81.47329430039431,74.5221710250733,94.07834274952918,86.42849954714703,8.235382443917235,0.7812687660637504,1.4576954940028097,3.9182473335255117,6.042732696003794
16,AL-FixedUncertainty-MOOB-b0.2-,0.20400000000000001,94.49146757695465,80.8814707153756,81.69581714910105,82.03648318147734,81.3584879865249,4.919272758104697,11.5046875,3.760761371166963e-06,81.17330000000001,75.71545793223778,81.08055252102453,75.44534872861338,80.30633461759159,87.50759917804105,81.90178947443357,81.63293646848891,88.25688016246373,78.62025350413441,85.6166474231326,76.05569834916702,80.54248248607868,65.90512606046123,82.07827179701992,89.49077212806026,88.77578746100433,9.092465239196372,1.7598664456775002,4.4773019246239,2.3009512827904293,6.96577889823528
17,AL-VarUncertainty-MOOB-b0.2-,0.20400000000000001,94.85691258487407,83.47660660881337,83.72517484779183,83.64202807250928,83.80922128658155,4.278311505381245,11.796875,4.508363435484676e-06,83.45309999999999,78.70598667896009,83.79320033507675,78.15942710459137,83.9792894427593,87.62676932213176,83.56012592842302,85.5118605569841,87.45397179343085,82.3609161237137,84.41842903293511,78.46496285548264,82.15106879827555,70.69124148643805,85.67291005924241,91.14726930320151,89.38361678575023,6.9842938226373175,2.042348250102087,3.680678120760245,2.5923320841741138,6.091905249232458
18,AL-RandVarUncertainty-MOOB-b0.2-,0.20399899999999999,95.66591914515332,80.95773425699097,81.45318091897211,81.45644469002195,81.45001637970287,4.933579294556018,12.096875,3.4360555453329454e-06,80.9003,75.4422819580665,81.21185433126898,73.84469295686901,82.30005550665628,88.27748697936774,79.59835354530549,83.94345478064312,84.11826444098759,79.07593293637436,87.19343807620544,72.95113321589925,78.65427219926951,65.8208866053292,85.80156782957333,89.39058380414312,87.58277146019924,7.5458722484158685,2.4989791261319687,4.555943762081428,2.009916402421447,8.057184933729378
19,AL-SelSampling-MOOB-b0.2-,0.20398,95.74976930004901,81.64374582697555,82.02321695227145,81.97919660249325,82.06735249359376,4.781515127323534,13.796875,4.229660343197693e-06,81.4805,76.19297732304125,81.67126819027266,75.11381990012522,82.92113393433736,88.44758902389393,80.15637508541369,84.49984683187985,84.44979215302817,80.11299351615762,87.20203799123541,73.63131252016517,79.0320938865936,67.6526466722428,85.93740649871343,89.73333333333332,87.98128207708564,7.271539685876452,2.504143546876126,4.28039717129513,2.01683482271548,7.8346604098544805
20,AL-FixedUncertainty-MUOB-b0.2-,0.20400000000000001,92.32570442585202,71.77036218271466,71.25802094811375,70.28470562211733,72.25885392413113,7.279869571730613,10.5375,1.5719038589547077e-06,71.1677,63.22061771465259,74.5253781953484,65.31907511700547,67.54904474555426,78.83845689316374,68.22581429548477,81.03475603218578,66.10153514151271,69.26225291557759,70.90939776400592,64.1155862573046,68.99676666067901,64.5937387979448,65.95236670456585,88.77212806026367,72.97926939720237,8.099642631910866,6.667627489130696,5.868482032441259,5.576016142980686,10.187579562189551
21,AL-VarUncertainty-MUOB-b0.2-,0.20400000000000001,90.62546524090543,74.41657846440813,73.43742924359246,71.93597716787845,75.00302205346297,6.804736183179631,11.978125,9.005957658195663e-07,72.8337,65.51753230417333,73.80502968088143,71.00049965144963,67.28563070824575,80.37451069213833,71.90333466737765,82.74094368137932,70.5495668578954,64.30966598743419,69.99066154218599,72.08904777049739,66.62654930842464,71.5276616083164,70.66842199748669,94.43389830508474,71.7585790480024,6.980089492176942,6.026158391583197,7.888196520548931,6.217123090227732,6.912113421361354
22,AL-RandVarUncertainty-MUOB-b0.2-,0.20400000000000001,93.26651560878692,75.54545361918689,74.81212159817782,73.78493456849856,75.86872517310428,6.406646947517203,11.5328125,1.7942057424483614e-06,74.6482,67.64196826746411,76.81690121076153,70.89607167406407,71.83194060356223,80.74907887389665,72.31175756298843,82.85600159650758,71.19895291247731,71.96385369115217,73.16878253295734,69.73708210939843,71.62145979282678,70.6625642251165,71.74256477769134,90.10922787193974,75.20780919794706,7.441965224180907,5.74079411976652,5.598218252110122,5.0688959354280785,8.183361206100392
23,AL-SelSampling-MUOB-b0.2-,0.20399699999999998,93.03562441292851,75.16005847303357,74.3941847435008,73.32553179364251,75.494782542558,6.532654474364776,12.6,1.894726065479012e-06,74.1399,67.0134237780356,76.07432830445597,70.73706870302786,71.6776024156395,80.65388905216999,71.32250394043379,82.61646375193887,70.97737518442634,71.7010391479458,73.09461991401479,68.23816096988676,70.50476019400035,70.55143983749551,71.68810962838847,89.97062146892657,74.75898158397905,7.4500735757830565,5.799284187264299,5.674218684340069,5.073969443643702,8.66572648079275
24,OALDI-b0.2-,0.321162,88.97356251429346,69.11738667407339,70.31545205130037,71.19225691694893,69.46018227311441,7.813112638671567,7.509375,8.641250638498201e-11,70.52189999999999,61.64588859895774,72.41873043913863,66.50920644381144,63.38406086929591,76.70976226187942,71.93441151065966,68.45023490485472,68.89510802486016,68.21867713078358,77.48165492209873,72.91560960214761,76.87892940542483,64.2902377822918,59.19274729220274,75.95781544256121,70.98118144309146,17.77560887714346,5.83687636616944,5.533143632412444,3.380109541654656,6.539824775977834
25,OALE-b0.2-,0.307764,97.19375428508872,88.98821837921484,89.28401285640089,89.48411980283039,89.08512315280944,2.8505665928424584,17.665625,4.440950255634056e-09,89.19070000000002,86.0345610154664,88.99773293575986,86.2624540566844,88.35182264824549,91.38728469448031,91.04254731120349,87.8523924757432,91.61781354394971,87.9585401570985,89.38218759645585,90.60966524090463,90.18172564517094,81.52108973593023,88.75471246484351,93.48625235404899,91.48183556405351,6.262950839364546,1.4993634551175807,2.437656833435388,1.7003170942634764,2.352544742031301
26,DMCAL-b0.2-,0.18500900000000003,98.8973069414634,93.97691400232898,93.9102499405651,93.82701217647902,93.99365788510985,1.5871925782221035,15.659375,3.404691994203151e-05,93.86380000000001,92.0923771912622,94.01958059487643,93.74134496615494,92.24057855365113,95.31089159160122,94.11015918474403,94.59355422874562,96.46006751584041,90.85756994319709,94.29438987199597,92.92947932261598,93.45338602478894,91.17278049946228,93.66704565854825,96.35103578154425,95.32404146120561,2.6789092765548514,0.6725757248204463,1.8913662068220298,0.8928221389449409,1.8002895439682498
