,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.20390599999999998,97.90678052141621,87.78166868887216,88.23405767241219,88.31673067618506,88.15154308089083,2.9658285973605616,9.6,1.2287443904723558e-05,88.1392,85.17403482649743,80.35601201097168,83.97669292549483,87.43330117875539,95.44042261457693,93.0431952105171,84.55611277540795,85.49089124404387,82.44081988737229,91.5606464233192,97.53518305078185,76.5551239916343,82.51806808553059,93.07160048134777,99.66465392484656,88.948268921095,3.5133511849645886,3.516018864856074,4.939542320375738,2.302747589449857,0.5574830271565495
1,AL-VarUncertainty-LB-b0.2-,0.20400000000000001,98.57629210067958,91.2230287318149,91.44945071799896,91.52052453508882,91.37849637230708,2.1576526799299462,9.1265625,1.1389002640498802e-05,91.37069999999999,89.2134044045039,87.4007791957769,88.63902762592824,89.75186679118534,95.90187889582043,95.01066491729107,90.35217239385256,90.79801270081187,86.05321534028432,92.45528945736885,97.94393278312663,84.64047405636889,86.58625330209838,93.7946249498596,99.62223663855484,92.2488929146538,2.273079906904577,2.2034852446301465,3.7907214949535324,2.040869924087993,0.48010682907348246
2,AL-RandVarUncertainty-LB-b0.2-,0.20400000000000001,97.97535107608915,88.5401843204212,88.92083728800966,89.0214785653637,88.82043349943042,2.797982315837152,9.528125,1.0910917500344416e-05,88.8101,86.01265348117154,82.78683846271109,84.97338417238603,87.2893229481618,95.2650850249973,93.45302463832526,85.97852874836721,87.59644448312746,82.54355543920543,91.3621690508082,97.62669510531006,79.83019619559806,82.50710262672581,92.62083834737265,99.51993612455712,89.62409420289855,3.275232112915739,2.93356017864068,4.880583591485959,2.3600255124373133,0.5405101837060704
3,AL-SelSampling-LB-b0.2-,0.20395499999999997,98.30815644326329,89.64278529611347,89.98083922061605,90.08173684472897,89.88017965455921,2.5329317542202316,10.14375,1.179724028528047e-05,89.8699,87.33744171220192,84.36198531389192,86.25750271441343,88.21153166680394,96.06215507405166,94.26360059898141,87.29166318179928,88.95997372358964,83.2873898673141,92.88637178263737,97.98328566830445,81.63429937257246,83.71828739470668,93.75752105896512,99.46953440790458,90.82125603864735,2.996070972747066,2.6055518720992787,4.687843509543319,1.9126824326859342,0.4625099840255591
4,AL-FixedUncertainty-BOLE-b0.2-,0.20400000000000001,95.84623786136817,81.3727137654958,82.01324963566996,82.05709576564583,81.96947819879746,4.512305546473995,12.1453125,4.751079492658997e-06,81.9561,77.44460801895737,72.1712940420961,73.072110583565,82.49319825782416,93.45584776145566,88.13384111542634,72.46963391390561,75.64745834521014,78.96939329031945,89.58656606107242,93.61242721772146,71.87929489094714,70.67537257638439,86.34977938227036,97.67553271121315,83.2674114331723,6.861533071398183,5.7142499718528335,5.728989707204956,2.84588737009292,1.4108676118210863
5,AL-VarUncertainty-BOLE-b0.2-,0.20400000000000001,92.54845611173167,74.32801983222598,75.3949081740493,75.40168615724502,75.38815714987672,6.1554727797860735,16.0703125,4.113876985179054e-06,75.3817,69.22643477990505,67.7884787094454,65.58546727163004,71.71925245683116,89.72204396530508,80.26720056381762,69.64019514432373,70.64369497115403,68.26570735049552,81.74251976759292,86.71631355265892,66.03923911960962,61.20769575836116,75.54352186121142,99.42911322920305,74.72121578099839,7.236292199504493,6.385153308230231,8.748501049265514,5.566088468128212,2.8413288738019165
6,AL-RandVarUncertainty-BOLE-b0.2-,0.20400000000000001,95.44301122002467,80.13940968785495,80.84811435979148,80.87870053425425,80.81759137823282,4.800314064043302,13.9609375,5.322263831557291e-06,80.8041,76.00457310485432,71.14541870192556,71.08359936906334,80.92899920470805,93.05685050770498,87.20758334086186,71.36354519701466,74.07998446339417,77.42680277868985,88.79174611674587,92.73142411542666,70.93118215317199,68.32378009270796,84.76734857601284,97.75737312241131,82.30827294685992,7.154458319777772,5.996972615935048,6.155066453482561,3.0946336338965246,1.6004392971246009
7,AL-SelSampling-BOLE-b0.2-,0.20399899999999999,95.78285214316296,81.34701695589693,81.98704732213966,82.01049576741426,81.96362620185015,4.513916866436403,14.49375,5.437993192269157e-06,81.94940000000001,77.43633748884142,72.60323982706039,72.61579092785846,82.36579629904206,93.31745909791988,88.29092658115405,73.05345727640413,75.56332808080072,78.78693796670552,89.30979022769903,93.33896528546185,72.16263320386415,69.89981558092009,86.28961091054954,97.70198113678326,83.76409017713365,6.692860181686228,5.6745937425722754,5.7894473868292184,2.9309288278035543,1.4817541932907352
8,AL-FixedUncertainty-DACC-b0.2-,0.20400000000000001,78.30438957327429,53.20014879521815,54.89297738818459,55.489847900233805,54.309825269484215,11.426426644900326,8.096875,5.990038852259104e-07,54.296299999999995,42.87106864776279,48.692054628375246,40.22131215107582,48.50504575073675,74.76019335789958,60.650409748023016,44.7435390147868,41.849223561096096,50.23972407145773,83.00611263901307,57.61064021481535,53.59127576934568,38.76638588446394,46.98004412354592,68.05179899196568,64.15962157809984,16.724893015340722,13.521648298034702,11.609248526031779,3.4900764122509726,11.78626697284345
9,AL-VarUncertainty-DACC-b0.2-,0.20399899999999999,79.5461697270143,54.09407171983241,55.62492431387524,56.14276007928639,55.11668225907515,11.224739722552897,8.06875,5.911524317020342e-07,55.10340000000001,43.879690483558676,48.78288392430678,41.422583428930636,49.36054522111006,76.06421759581612,61.4998802284785,45.593840965435724,42.08860190044261,50.55215709031431,83.49070441606577,58.988496024173585,52.45891843441889,40.78552559437772,48.23555956678701,69.86276760317381,64.24064009661835,15.73312645461598,14.087218684714212,11.761641850704505,3.462688060429459,11.079023562300318
10,AL-RandVarUncertainty-DACC-b0.2-,0.20400000000000001,79.6144359201694,53.833037662921555,55.49943887883592,55.9714703067025,55.03533181358053,11.245216556961381,8.34375,6.191701072061227e-07,55.02140000000001,43.77733211264708,48.48332920342382,41.13408569952613,48.061572177181006,76.75226784338369,61.972939140019506,45.41046690073471,41.56323615511909,50.60064957282871,83.71483510773058,58.56816379709943,52.00926202569466,40.71823755171211,45.784195748094675,70.86132042517092,65.80364331723027,15.713606446607773,14.369440934736105,11.142075547117017,3.45455909756006,11.546400758785941
11,AL-SelSampling-DACC-b0.2-,0.203976,79.40626148272092,53.72573805459774,55.440463558978024,55.948841357156326,54.94133902579716,11.268632787245947,8.575,6.613073152645181e-07,54.928200000000004,43.66046027691839,48.71014787009358,40.77047799033899,48.07100139615198,76.60854223226053,61.81409191673625,45.164562314659214,41.32031674998123,50.97125508596999,83.79688442997266,58.491188205198476,52.87222388208346,40.24423067337886,45.48937023666265,70.55990817905085,65.54096215780999,16.138166620786304,14.344921625780302,10.90361746777256,3.419667087705256,11.536791134185304
12,AL-FixedUncertainty-ARF-b0.2-,0.20400000000000001,94.8791204189183,76.50910124861521,78.01752953724122,78.71665819598155,77.3316270053423,5.6666233553970935,6.1703125,5.305609174279704e-06,77.34290000000001,71.67508348504415,69.44375209160633,72.75303109166131,75.82106864297081,87.9438298690857,79.9577127701775,63.019553564158436,81.01155998777395,82.47382094997731,78.5865106573713,88.49184582062676,77.40165322179067,66.10476997458008,70.26875250701967,99.87923549079294,73.00372383252818,11.456618033484322,3.9168345071744,3.7270160887378836,6.848088443116019,2.384559704472843
13,AL-VarUncertainty-ARF-b0.2-,0.20400000000000001,96.03972206739023,83.46052791275929,84.22440555031852,84.5118843551397,83.93956530182145,4.016414723863539,6.5359375,6.038842270047301e-06,83.93870000000001,79.92250144324399,75.69985334731155,79.24765015312697,85.94814185957739,93.71761134572387,84.58209981059736,71.60910327453277,87.94759563453357,84.40980531807777,88.62602478850651,89.96689276004786,80.40782790558708,72.44130987389721,87.58373445647814,99.44208792853937,79.82286634460547,8.077779724217324,2.530742960081064,4.047541720795444,3.205187528920349,2.2208216853035143
14,AL-RandVarUncertainty-ARF-b0.2-,0.20400000000000001,95.04994076639457,77.7839125476113,79.05877661600681,79.63521961875499,78.49112585725103,5.376992670653843,6.35,5.333830854700257e-06,78.5002,73.1223729091026,70.89087298278844,74.59862666648326,77.52148656170255,87.88551642934122,80.85605335447204,65.52089857980941,82.65474350770313,83.0585425431905,78.5222082869118,88.41970517616002,77.29558808883579,68.07705726960077,72.75270758122744,99.81286491341884,74.5174114331723,10.245251382667234,3.635613045273152,3.7105276306585386,6.857968259526518,2.4356030351437696
15,AL-SelSampling-ARF-b0.2-,0.203993,95.12091782304536,78.3115012682593,79.56418524391869,80.12893545363961,79.00747429908742,5.248280018204887,6.4078125,5.4097653838754125e-06,79.01489999999998,73.76595391081527,70.83650967276867,74.52027513663504,79.56778154473226,88.76265984619883,80.76648493491896,65.09296463113236,83.38248684360244,84.00823641398443,79.94479080138686,88.21619857809195,77.72682003784483,67.41265015202114,75.62023666265543,99.78591746095114,74.49174718196457,10.495382767336519,3.398801556225527,3.5876136704306987,6.283813359012519,2.4757887380191694
