,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.20399899999999999,97.39381388506392,86.76956134422967,87.12489685106,87.36890210492,86.88239810673844,3.4286554527355597,12.69375,1.419454685593438e-05,86.5328,83.0488811320233,83.99147500920444,83.46548734361457,85.15736368795442,92.01834985919018,90.4482707428057,83.56873154275738,85.82983460933761,82.03352397447011,89.68224358785827,95.73017681017656,84.43892710326018,81.23067213632059,88.53254615500074,94.48132547037349,85.72851966873705,5.428404767270751,3.8202449336263284,4.842713059127891,2.3546444430926456,0.6972700605601817
1,AL-VarUncertainty-LB-b0.2-,0.20400000000000001,97.78327356822972,89.03908751245572,89.34677554310748,89.57248906996657,89.12235438998401,2.84801280969195,12.8796875,1.3603227209791334e-05,88.8279,85.93764934442223,85.8258795691701,86.84913515234223,88.27327262181107,93.27823268518952,92.04983019138248,85.18120955640782,89.19115144691341,85.50925061060693,91.08363447415395,96.8971992617507,86.49436281492939,84.63147455258532,91.2262970931105,95.58494804830103,87.6746894409938,4.913894817780489,2.9212125885089377,3.863747141089573,2.0281038992639457,0.5131056018168054
2,AL-RandVarUncertainty-LB-b0.2-,0.20399899999999999,97.39217570154084,87.05366860342488,87.44992690635067,87.7460784498618,87.15587260968654,3.357293896503786,13.071875,1.4884319822562651e-05,86.8376,83.42849412057721,83.39883611918083,84.46256112379272,85.93843226239625,92.51835818967184,90.40707305085647,82.79445191887234,86.23444010851897,82.98854213304887,90.56231612440021,96.15064196446866,84.02214172330986,82.76788531758554,89.10842047330763,94.56388654872228,85.31702898550724,5.697392318807917,3.768328257321665,4.562008673590541,2.134923048847253,0.6238171839515518
3,AL-SelSampling-LB-b0.2-,0.20399599999999998,97.26137928708482,86.62429169313276,87.00264450705279,87.25684639750814,86.75005890871901,3.4786774481532974,14.5015625,1.7673414643569332e-05,86.3595,82.82932427891456,82.50631442933567,83.43517787225494,86.11803130784402,92.33408687681458,90.10341421483662,82.11845408683313,85.32668537588945,83.04900313293993,90.22824834686455,95.56184104501355,82.90488013350158,81.6300770860569,89.42412568169308,94.54535242909296,85.24585921325051,5.888560406199042,4.001696287443618,4.560008998537738,2.219356408540665,0.7237651400454201
4,AL-FixedUncertainty-BOLE-b0.2-,0.20400000000000001,95.42568131981405,80.15537846469311,80.73509669078521,80.96762962024783,80.50396738112721,5.086844603881618,14.3375,4.468670270095269e-06,80.0339,74.85915076827375,75.79950758580046,73.2514272733825,82.20654022126169,89.60054910140317,82.13207407053014,74.53640536313964,75.17487161218635,80.87217635135596,85.88072429248794,88.37397048206925,77.1134356302658,71.43533336338638,83.59083404212738,93.6624543667509,76.71777950310559,8.583871352626904,6.727707313312001,4.939072400734881,3.337550945921284,1.8460210068130203
5,AL-VarUncertainty-BOLE-b0.2-,0.20400000000000001,94.75318709561321,80.10685276489372,80.62859734936787,80.79187537089237,80.46646376099869,5.0815525903975995,16.634375,4.638933133618491e-06,80.0078,74.83563859556895,76.72848095005362,74.86767573919579,78.86940787965466,89.9140161146917,81.89525009968399,75.60304786119114,77.71537687830389,77.75278433897991,85.1183850132299,87.76978276275703,77.90019943831655,72.22918451066131,80.03452243958574,95.31929233361416,76.84912008281573,8.197823176147738,5.905521929655474,5.716821016584804,3.626132976458422,1.9614638531415594
6,AL-RandVarUncertainty-BOLE-b0.2-,0.20400000000000001,95.78916018677963,81.70697787180423,82.192319956071,82.37971647149931,82.00584682750295,4.718132242946556,15.8296875,5.163063958106149e-06,81.48540000000001,76.692525598618,76.82022029828647,75.4991509685389,83.30164219833216,90.703232290773,84.09115850015185,76.03173449236925,77.30107754242864,81.48152303910389,87.46735386629936,89.61689341729542,77.62912613455981,73.7866834963711,85.20688447490869,94.19264251614715,79.21389751552795,7.973247073484376,6.1755143477646275,4.836464074587879,2.925482085284993,1.6799536336109007
7,AL-SelSampling-BOLE-b0.2-,0.20399899999999999,95.69938512854641,81.43607089304835,81.87319143209015,82.00328395860384,81.74357491038464,4.787386587139626,16.5390625,5.336843017074796e-06,81.19409999999999,76.3310854014384,76.81896160279574,74.99091108817936,82.89432483131645,90.32186063152038,83.82754948472542,76.33048602722472,76.77320692721165,81.24662719285534,86.76794161789105,88.8981580278365,77.3189792014327,73.29261145922553,84.61249812378045,94.18477955630439,79.30900621118012,7.812305285625273,6.321497873215363,4.877957331933562,3.113571385120749,1.8116010598031795
8,AL-FixedUncertainty-DACC-b0.2-,0.203994,78.42050913140098,55.5437228746532,56.97834577570668,58.07521512754268,55.922354951553174,11.268035993822908,8.35625,6.232910155732599e-07,55.7548,44.089982214698225,55.05380167347776,48.0243212702548,51.42161458458527,70.24051289177143,58.392383902248184,49.52165931190506,49.045758553132984,53.35311318996828,79.8837004625507,58.571844120156335,62.000895437339736,47.06757426858405,49.63976584780108,62.68407750631847,58.21946169772256,20.59749970171415,13.947209478648626,10.84561258795446,3.4205243627957906,7.529333838001515
9,AL-VarUncertainty-DACC-b0.2-,0.20400000000000001,79.3862666255488,56.339521816372354,57.62535937652772,58.630823953891365,56.65401318230547,11.078351231239271,8.7203125,6.414690255446152e-07,56.4723,45.018985763088125,55.63938828579867,49.24823492524418,52.117228464374236,70.8791418011168,58.79232473462688,50.73249662712446,49.55478437434904,53.88642444418535,79.95676996620676,59.02364435759125,61.607717041800655,48.9595636298066,50.46980537349277,63.664139286717216,58.56884057971014,19.49317919688192,14.211804618528086,10.792746178745952,3.458726199890504,7.4352999621498865
