,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.20400000000000001,96.68737552054779,83.59812999237862,84.06674713293879,84.02864306134353,84.10501500651176,3.839650992351829,13.5796875,6.36681166684462e-06,84.8777,80.72466829484426,82.10475542369596,71.82952510108733,84.61959470980405,91.8728912265174,89.54830800879265,82.54966754509358,75.85790742138482,82.2742569163134,89.39224334779914,90.06914007612671,81.66885184491477,68.21733913304334,87.10617668182906,94.49557308920075,89.0371342835709,6.28852056476366,3.3419103223870956,3.7643471161696196,2.232574313224696,3.5709026452140717
1,AL-VarUncertainty-LB-b0.2-,0.20400000000000001,97.18812401742586,86.70086595717353,87.2053092350483,87.37914493224099,87.03253541140721,3.076613778985133,13.4640625,5.6440630966487026e-06,87.90650000000001,84.56981469419235,86.45218243298669,77.95732133692643,86.94146225413775,92.51466747299871,91.7196026137448,86.39920300776915,83.28863832663555,84.88743108088714,90.6385386731557,91.68191357275742,86.50945870013112,73.31258437078148,89.10102944697151,94.47328796000721,91.76631657914477,4.964190710047063,2.259594304571573,3.182898717764011,1.943115459788721,3.0332697027542954
2,AL-RandVarUncertainty-LB-b0.2-,0.20400000000000001,97.05116916949743,85.1289619342431,85.51510432395727,85.51783918806547,85.51296026262324,3.521404061255533,14.890625,8.984856540337205e-06,86.14439999999999,82.3397969211723,83.64491972596812,75.12660831009553,85.79002907424066,92.56226962765209,90.05927553491685,83.80732920321768,79.27712563428018,83.0188550264918,90.54652239367094,90.93936368266677,83.4931635137666,71.4339283035848,88.7568829303328,94.67264952117085,89.20817704426106,5.875724711820476,2.8830221770936704,3.6421264947413916,1.9688957636365814,3.237251158985546
3,AL-SelSampling-LB-b0.2-,0.203988,97.37205626465186,86.36395416243877,86.67808714875896,86.69519776069072,86.66117764118803,3.2378401341158622,15.0640625,8.881402864871132e-06,87.2552,83.75474009072124,85.05148511727153,77.54660411731685,86.42043346410942,93.05139830672286,90.99484411425337,85.06111168786893,81.37226463394316,83.68661355176539,91.41086066168192,91.9451382681942,85.04476493725417,74.08729563521823,89.34522384486473,94.75396012768775,90.07464366091524,5.437555419139214,2.6069046684974504,3.4946933679104837,1.773445087952804,2.876602127079356
4,AL-FixedUncertainty-BOLE-b0.2-,0.20400000000000001,94.68030856183637,76.89071169888457,77.94878429106055,78.11556086886561,77.78276234261473,5.258322191387516,16.2703125,3.1981496754775028e-06,79.3478,73.62295940996285,77.93741019655634,61.85981510755279,77.50226897740252,86.47489828211431,85.41992061936813,76.79274744477452,66.82314228914211,78.66489760358249,82.90887060623416,85.38814640059488,79.1189361303615,57.58887055647218,76.38496528609048,90.36680118050954,85.45423855963992,8.708682900211446,4.39976461357395,4.154180473514863,3.711284578581963,5.317698391055359
5,AL-VarUncertainty-BOLE-b0.2-,0.20400000000000001,93.8371766888909,78.19767011833845,79.14388940862932,79.28192761506907,79.00637294491506,4.937593850031577,17.28125,3.382826951565221e-06,80.53540000000001,75.1561865020919,79.74566172300065,65.03912687287558,76.47308029042031,86.7755023779262,86.94566946582623,79.1631751136265,71.29505018349542,76.07990582738972,82.62890534155417,87.24260160927955,80.33789099082226,59.79751012449378,76.87574814460139,91.3684273926399,86.652288072018,7.701111793192825,3.7051438857221974,4.847284252989484,3.8280753504322704,4.606353967821108
6,AL-RandVarUncertainty-BOLE-b0.2-,0.20400000000000001,94.7515757097217,77.83533010625794,78.8500634554102,78.99788361578831,78.7028848645056,5.017411340799925,18.9703125,3.764021119827198e-06,80.2602,74.79530027784855,78.88345143212707,63.17217318266752,77.63213352165312,87.28412914686437,86.69390610041543,77.58889788989643,68.29503832580191,78.44737799545344,83.45902823999526,87.19907562779458,80.22663420116127,58.76931153442329,76.84163275077807,91.47804613624042,86.19879969992498,8.443353113703022,4.1993399949230374,4.233179657109926,3.6096022638704026,4.601581674393237
7,AL-SelSampling-BOLE-b0.2-,0.20399699999999998,94.98866232530517,78.71198608900158,79.64618221044341,79.77932944549701,79.51354314566012,4.834685549722707,17.94375,3.6878990585036166e-06,80.98190000000002,75.7205063286671,79.4334507339099,64.21254210761859,79.28520010858934,87.71393836914021,87.0870375281132,78.45355009831216,69.06011347888523,79.84212353700566,84.21269775950387,87.32816235377808,80.44128113879005,60.004499775011254,78.74491261671055,91.52743480093959,86.84958739684922,8.045972307482437,4.1364548958068905,3.987777937857177,3.420866458026068,4.582356149440959
8,AL-FixedUncertainty-DACC-b0.2-,0.20398999999999998,77.42004921091439,53.002071168915364,56.40703702548349,58.13701685874887,54.78516503982347,10.853568243731335,8.71875,6.35439032016115e-07,58.1515,45.92797660151596,58.80741337524621,38.388502857026694,48.4574086237885,66.32436841891447,66.95144904079561,52.89554407164839,43.401790693518905,53.13316069024948,77.21643478648893,64.03815405183863,66.39707810451395,34.61826908654567,44.612161838640176,58.1419020658917,70.15641410352588,21.678193847622943,6.953130408695451,7.89799740671373,3.4152307636965356,14.323288791928004
9,AL-VarUncertainty-DACC-b0.2-,0.20400000000000001,79.12895481414164,54.4333882962678,57.295253610765386,58.68823052636088,55.96699072055485,10.58038535375777,8.2578125,5.949486189314889e-07,59.0656,47.23169717163262,59.62986428062716,40.20794400570216,49.285414895332835,67.48135458144006,67.78265176859145,54.61079166694494,43.92555582732059,53.05071177847808,77.01131667942018,64.84277667964061,65.668102640944,37.07739613019349,46.025257361742874,60.05782087574536,71.00637659414852,19.87695245890458,7.283709874691344,8.173053834702014,3.5703922203436576,13.99781838014726
10,AL-RandVarUncertainty-DACC-b0.2-,0.20400000000000001,78.17042163807197,52.249838683024656,55.45242280112784,57.05268026462564,53.939605626669746,11.124900804997921,9.1046875,6.5631746676647e-07,57.0954,44.59418201813708,57.54332786697209,38.692606950070804,46.42514284017277,66.62942481658101,65.32776369045781,52.330212694019835,42.47277496387293,51.98087646501192,76.81133185639894,61.66820534382464,63.91346694137478,35.53697315134243,41.95774479291357,58.836354875624885,69.45348837209303,21.204419889502766,7.407749290379156,7.779018393122987,3.5366979627564548,15.696618489228248
11,AL-SelSampling-DACC-b0.2-,0.20399499999999998,78.02632534003713,52.23199607610383,55.516722618047595,57.17065939101188,53.95604721692829,11.103469263226348,8.7859375,6.440154134502842e-07,57.195100000000004,44.70189572807901,57.75067970333157,38.49887836574006,46.82939644666558,66.1463505302523,65.55943062474772,52.27924790934228,42.494044758509844,52.534903144321184,76.57677724037153,61.968323902514555,64.51058250608727,35.1972401379931,42.254608570744544,58.221405770041564,69.59639909977494,21.449969306322895,7.3299794613804705,7.662200451423905,3.5462906339556577,15.528906463048816
12,AL-FixedUncertainty-ARF-b0.2-,0.20400000000000001,94.78897801197228,74.4365973483857,77.65615291946294,79.57617069436532,75.82799198575205,5.696151162676578,7.853125,3.514632961014285e-06,78.1253,71.85826370333072,78.18124893379695,67.87292289345561,70.17616751574943,84.63359153889948,82.07954090289738,73.53674638921831,80.19091425097393,87.24860099860385,78.1115737581658,78.79301807486469,83.47743023038022,58.87205639718013,58.78261910462054,92.34656387399869,85.66129032258065,10.954641566059612,2.248055754275033,1.7373817413437063,5.153302876602275,8.387373875102263
13,AL-VarUncertainty-ARF-b0.2-,0.20400000000000001,95.95635627323766,82.34469982686893,83.80975107559233,84.71504564202004,82.92545234005064,4.090295508721274,7.6171875,3.679745478115769e-06,84.1838,79.75427846042432,82.52165076161482,74.62653785293948,83.19029895734113,89.94262487282143,86.95934750031833,79.99487071213775,86.84379786682744,83.78693252291559,86.48962719729286,86.45999991092657,85.24405319348192,65.57447127643617,82.6316734498444,93.70294525085828,87.4741185296324,7.784598594911671,1.5472042092631484,3.2139941410939827,2.92108828854755,4.984592309790019
14,AL-RandVarUncertainty-ARF-b0.2-,0.20400000000000001,95.23858576672367,77.11229400974221,79.46535135023325,80.91096379711092,78.07330671257215,5.197748779947593,8.5046875,3.7923719953849083e-06,79.94950000000001,74.26549550736914,79.26921629749535,70.07580429851618,75.03541161027407,85.34050399424792,83.97070539254996,75.3416327231954,81.3566280473024,86.8033777298702,78.90859169161055,82.144588793576,83.65199475557219,61.65591720413979,66.21019870720612,92.93019333855327,85.91822955738935,9.981583793738489,2.20340156462742,2.0299668635643284,4.953775315658837,6.820016362148896
15,AL-SelSampling-ARF-b0.2-,0.20399699999999998,95.34818394906074,77.7765854542029,80.09900000652809,81.5526441301694,78.69739213415872,5.042270201566053,7.621875,3.293290077838012e-06,80.57090000000001,75.06001150625829,79.7711409404914,71.15446254076052,75.62998779790625,85.99083363473045,84.54817975324954,75.79830581401339,82.50651728214697,87.01204475457638,79.91696476403203,82.52938803607819,84.20827870387714,62.584370781460926,66.93380416566914,93.07896163343975,86.68154538634658,9.805197462656027,2.0554773498257677,2.006315132305624,4.66287756154298,6.681483501499864
16,AL-FixedUncertainty-MOOB-b0.2-,0.20400000000000001,93.34812732382622,75.03193176128684,74.93867735190545,74.32613313498024,75.56147351885286,6.3525914316791035,12.8078125,3.229792792505274e-06,74.89089999999999,68.16921895728574,72.16818970864213,63.92680524343051,75.60321407820234,86.4967300011157,75.21321341156221,71.35125778033058,60.91522002325837,75.69301340943777,80.65683200002529,83.01434246184917,73.00955235062746,67.26788660566972,75.51831457984198,93.2524242606758,68.75918979744937,10.678262055794285,6.647243440334156,4.864452768573213,4.454236962960298,5.118761930733569
17,AL-VarUncertainty-MOOB-b0.2-,0.20400000000000001,94.32529869930498,78.95096095461297,78.96806899858953,78.39576909693457,79.54884697176868,5.22235844034781,13.00625,3.757934580789879e-06,79.32650000000001,73.76092747055604,76.43435174118316,65.37763103197605,81.35739631444035,89.80182288204932,81.11057955059047,76.70909372241064,65.17250742754713,77.90846554380579,85.41747069520227,86.77130809570698,76.16407566960106,65.61496925153742,85.13526454393104,94.68288863458412,76.14703675918979,8.423981993042766,5.399695382272171,4.842721990107092,3.2270944998021514,4.218298336514863
18,AL-RandVarUncertainty-MOOB-b0.2-,0.20400000000000001,94.17954459422576,77.6913008050293,77.52167585038896,76.84413907266752,78.21136209808859,5.607497081239417,14.0328125,3.4332068365377688e-06,77.69820000000001,71.7490219846357,75.24502426984196,63.28717784030688,80.32111958453902,88.55507795259764,79.06031317809176,75.61723567005036,60.10122900694772,77.2144168116321,84.60670414898665,86.68110972572072,74.89867016295187,66.84040797960103,83.73354081876944,92.90489670541469,72.67929482370593,8.831457608621516,6.830360233540257,4.951856120635834,3.3725433768600785,4.051268066539405
19,AL-SelSampling-MOOB-b0.2-,0.203994,94.26573092891462,77.92390713158457,77.800003045294,77.17739171552304,78.4328538346656,5.549235118075885,14.5296875,3.551595207277892e-06,77.9791,72.08552607895975,75.28574100768043,64.2442547178928,80.55085776330868,88.47507728398857,79.40991352916474,75.25557901296744,61.8225845977682,77.56764833993148,84.46562916465834,86.7755174622898,75.33995130174189,66.89215539223039,83.82032559253052,92.89465759200144,73.21717929482371,9.070868290021144,6.3729720997853825,4.8555683619075065,3.405997817667301,4.04076902099809
20,AL-FixedUncertainty-MUOB-b0.2-,0.20400000000000001,88.79473992485461,64.55955160865581,64.80914840365163,64.04681495235585,65.59015734537223,8.80466850147718,11.6796875,1.351967033567942e-06,65.1503,55.868438533419734,63.17676018387196,53.81285637180732,58.07463911898274,80.47626666567317,66.85904765994944,64.34302038842023,50.51324541647252,60.45054560305764,72.71622908201009,72.21103427181872,62.072298183180386,57.608369581520925,55.91333492937516,90.1035957357104,62.25318829707427,12.529704658618101,8.690143770336695,7.3565288383038,6.733575548281114,8.713389691846197
21,AL-VarUncertainty-MUOB-b0.2-,0.20400000000000001,85.18967601372631,63.13568021080197,63.09930589946215,62.63602381471545,63.570104190835444,9.199710432867752,12.159375,9.142233563276627e-07,63.51610000000001,53.78971749592189,65.3005245044517,55.25025331278308,59.29001362817096,69.42129648089582,64.64149826999808,66.45873694604154,56.55907222008388,55.79037426981573,63.280268966167206,71.09166667146896,64.2404944746207,54.07229638518074,63.327747186976296,76.93428898391856,59.275693923480866,11.830980151422139,6.4019338610297,10.0889641262066,8.904516949050926,8.772157076629398
22,AL-RandVarUncertainty-MUOB-b0.2-,0.20400000000000001,90.5275395629821,69.52612798070204,69.57948965295847,68.841687608252,70.33363010462419,7.530634011553554,12.834375,1.6742313067273549e-06,70.0418,62.08360641112915,68.6748811974509,56.27917005995736,66.41192267729122,82.23457555855154,72.58738268386882,69.98505630305782,53.44378823403355,67.12328805916081,74.24469311075106,79.41161233425673,67.43772241992882,59.47952602369882,65.7283935839119,92.16466903571644,66.85783945986498,10.523702339540275,7.983522950176538,6.457763050473034,6.368574409151408,6.319607308426507
23,AL-SelSampling-MUOB-b0.2-,0.20399699999999998,90.5388680676469,69.71319785884691,69.77404534243034,69.04510603544605,70.51867097210935,7.491198282834864,12.9625,1.7031957589400312e-06,70.2218,62.30235438082466,68.69197639615268,56.55324981435005,66.96310567675914,82.4144745967037,72.62502219709091,69.75389144368205,54.242824207308466,67.00167983168248,74.56717456095575,79.6599601336015,67.67821689454954,59.11204439778011,66.93859229111803,92.11768957417334,66.74681170292573,10.689993861264579,7.685712967022823,6.612519809825673,6.258738323920525,6.209026452140714
24,OALDI-b0.2-,0.301784,86.98109737504404,64.77373047568166,67.41412075934133,68.30321714981069,66.54803044609125,7.975942497463175,7.359375,5.759324671493636e-11,69.13000000000001,60.30493588347123,69.85064934472649,51.67681253704634,58.28335769888365,80.63397965186411,74.50379244125659,67.07675387615492,59.38482979485671,66.04167204654756,78.7215221052747,70.29130792621955,72.87244802397453,45.77246137693116,52.17859707924348,82.64470276456062,79.27194298574645,13.030216219903144,4.8302679251378855,5.384070498967487,4.4474021847308665,12.187755658576492
25,OALE-b0.2-,0.313716,96.89226379574313,86.514340001504,86.90299538903979,86.97098682643512,86.83526089785003,3.1554481640289103,17.340625,3.5350870651503406e-09,87.57129999999998,84.15360274767207,85.74139648353481,77.21634287379413,86.76171791515259,92.91621252975797,91.52585958762165,84.91634966731037,81.41305102395246,84.5914800842395,90.85198533732452,93.0820680193488,86.58924892301928,73.43557822108895,89.05195116112043,95.07739565138831,90.02213053263316,5.60166427938067,2.5809429303302336,3.2555347452336356,1.9061836756717867,2.4329151895282246
26,DMCAL-b0.2-,0.190132,98.79456577187409,92.99954945090872,93.02711862470828,92.98975000777993,93.06454337113719,1.6846560479109844,16.9375,2.199119134780226e-05,93.3327,91.50463202646773,92.19987207889037,89.17286184295918,91.86730065036215,96.00908180515827,95.76447447906924,92.48396269948176,91.28870380129122,89.9655618863676,94.61881266325449,96.59170898850462,91.91833676718485,87.15614219289036,93.85324395499164,97.4426308498464,94.9523630907727,2.720687538367097,1.279855998892299,2.1004418191422944,1.1039965466383683,1.2182983365148625
