,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.204,97.34529275,84.11775359,87.16582849,89.44410317,85.00179927,2.943127847,89.3999,85.53055506,89.83133007,73.55591316,87.70394224,90.75386987,91.74847263,89.73432651,89.34180087,87.41350759,91.73352339,88.99735751,89.93252159,62.57377049,88.01914305,89.80472842,94.67883278,5.150774124,0.536177511,1.958050031,1.248470577,5.822166994
1,AL-VarUncertainty-LB-b0.2-,0.204,97.2086782,86.37255219,88.70423805,90.69605896,86.80032129,2.697561466,90.3395,86.8161324,90.55635066,79.84988748,88.10662549,91.38515963,92.41711125,90.18278097,91.18349801,88.9084342,93.40022637,89.80535526,90.94319818,71.06706408,87.33791969,89.4650606,95.1883639,4.959343495,0.494801158,1.682962587,0.975136782,5.375563308
2,AL-RandVarUncertainty-LB-b0.2-,0.204,97.73181136,84.27835224,86.87696315,88.77208943,85.06418831,2.998853927,89.1819,85.24353974,89.84504221,72.87070975,88.4895743,90.49372786,91.07179204,90.37112716,85.24761787,88.03023807,92.23292822,87.97853585,89.32971449,63.81520119,88.96283556,88.82014066,94.39304966,4.764462314,0.792046307,1.868586007,1.154281229,6.414893776
3,AL-SelSampling-LB-b0.2-,0.203983,97.77867522,84.87847764,87.29873982,89.10623247,85.56706546,2.929971088,89.4386,85.59817862,89.84196584,74.19451368,88.74827884,90.93486061,91.35895875,90.28282147,85.75800444,88.29686708,92.75858478,88.4348846,89.41428743,65.54098361,89.20885366,89.18449798,94.48670461,4.820121219,0.782827741,1.826451337,1.074751252,6.145703891
4,AL-FixedUncertainty-BOLE-b0.2-,0.204,94.37031488,68.77167133,75.29633256,77.94591991,72.82503588,5.492565809,80.3539,72.98989696,81.46984202,43.19154382,76.1801132,87.32275086,83.47179321,78.83328997,62.71266637,80.43498446,86.57979185,81.16886691,84.31711852,33.21460507,72.5319674,88.14978303,85.91170536,11.3700192,1.383213635,2.659678853,2.138998546,9.910918809
5,AL-VarUncertainty-BOLE-b0.2-,0.204,89.80658788,63.78672511,71.99628146,75.90282169,68.47268723,6.458150331,77.1004,68.34283193,77.78495253,39.70827235,69.44781226,84.18245256,81.69222393,74.15658477,65.73156712,74.62560065,86.47542805,78.52492785,81.78892754,28.46497765,64.95999402,82.02079904,85.12873792,14.25963154,1.063458034,3.411638404,1.979361452,11.57666223
6,AL-RandVarUncertainty-BOLE-b0.2-,0.204,91.82382914,61.35076925,69.82609681,72.85257937,67.04355223,6.744534358,75.8207,66.65990765,77.22054784,35.01556832,65.40131556,83.18418334,80.76988104,73.96595184,59.5715231,71.81171026,80.55105941,78.36265226,80.78274952,24.97019374,60.10394078,86.02573694,83.33514018,14.23577772,1.203451603,3.612730442,3.220560057,11.45015196
7,AL-SelSampling-BOLE-b0.2-,0.203999,92.88670354,64.97999646,72.63327354,75.61014795,69.88429326,6.129570483,78.0568,69.78356537,79.10522074,38.91371548,71.13460097,84.94249563,82.2306871,76.11651911,62.83969674,75.91325417,83.23997633,79.94129338,82.34944818,28.54992548,67.03357511,86.83076463,84.65775288,12.96102376,1.156715618,3.219435049,2.748343606,10.56233438
8,AL-FixedUncertainty-DACC-b0.2-,0.198153,66.98426531,32.01439044,46.50701388,51.1788335,42.64957047,12.91776851,55.1696,36.17639979,59.49624013,8.982599989,40.03044174,50.88761564,61.49735,54.53389898,20.86192311,54.81525073,70.53673588,55.14635882,65.88801583,5.766020864,31.66529575,39.94538381,69.98313609,27.53795607,1.574338086,4.023803202,2.5808574,28.87188777
9,AL-VarUncertainty-DACC-b0.2-,0.204,69.22306529,33.55885652,47.86225198,51.99122361,44.34176403,12.36359562,56.9115,38.87652455,61.57059836,9.505353751,42.05762652,52.85623602,63.26007949,56.05438235,21.85778279,54.71143666,70.12173383,57.21078242,68.29384597,6.077496274,34.1651088,42.42855005,70.74381907,26.78528565,1.56511952,4.368845741,2.791629153,26.30709805
