,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.204,97.52466389,82.90314313,85.40609488,86.84275649,84.01886241,3.318801668,87.8201,83.77880853,87.20130122,88.64567371,90.83365215,92.66260048,66.52757509,84.7369772,88.97583342,91.729012,92.36282508,76.40913473,89.81885797,88.32153425,89.96345981,92.96654665,59.02391337,8.100096015,3.989195531,2.022818725,1.183251027,1.298647042
1,AL-VarUncertainty-LB-b0.2-,0.204,97.80405037,87.23523569,88.35748577,89.06711006,87.66316455,2.719502435,89.9655,86.67234122,89.46435128,89.70692286,93.11493435,94.11083948,75.08996267,87.70367563,90.70963542,93.342301,94.3529957,79.22694257,91.31807821,88.72719781,92.90369406,93.87038704,71.49646563,6.433179309,3.308868668,1.653920172,0.864332856,1.337211171
2,AL-RandVarUncertainty-LB-b0.2-,0.204,97.47108192,82.90709878,85.06040001,86.33237458,83.82892423,3.442320821,87.3463,83.15403365,86.84717278,88.13252745,90.08086767,92.03609952,67.32315593,84.17008687,89.15675766,90.77393465,92.16238882,75.39870489,89.71299184,87.13675694,89.40384423,91.91494149,60.97608663,8.452352376,3.862597711,2.268126265,1.203904555,1.424623196
3,AL-SelSampling-LB-b0.2-,0.203973,97.48838802,83.70993751,85.55729961,86.68805305,84.45968752,3.34981498,87.67,83.59287577,87.24989214,88.21059504,90.41596097,92.08494122,69.14505796,84.81795716,89.01596129,91.22331331,92.38321394,75.99981954,89.84105086,87.42180769,89.63259586,91.79792979,63.60505339,8.065290446,3.928625022,2.152158157,1.166058984,1.436942293
4,AL-FixedUncertainty-BOLE-b0.2-,0.204,92.88125786,62.22935304,71.31073738,74.05467736,68.76391838,6.586821466,75.8467,67.62208661,76.05828942,78.18108384,76.7296879,83.3805716,33.06339965,73.1766887,75.94801542,79.87153295,79.55944365,61.71770608,79.17856286,80.55661685,73.84973471,87.62526253,22.60941495,14.51992319,9.299755808,4.63759966,3.476946509,0.999882165
5,AL-VarUncertainty-BOLE-b0.2-,0.204,91.03281167,67.35467132,73.90082264,76.52908738,71.44752757,6.234732647,77.392,69.67208768,75.74600002,79.65013466,78.94321879,88.18049016,42.11449241,71.84381522,78.38640233,82.309213,87.91981477,62.18619159,80.10376679,80.96190583,75.87696466,88.44359436,31.85140623,15.70706313,8.134319196,4.083002174,1.869432778,1.379845958
6,AL-RandVarUncertainty-BOLE-b0.2-,0.204,92.7790257,63.61867701,72.16041628,74.89959233,69.61725616,6.416545188,76.4641,68.46822277,76.45168841,78.74087799,77.51250938,84.08807606,35.22753533,73.84282938,76.45361093,80.25424735,80.40254526,63.54472873,79.26163628,81.17391467,74.98998899,88.16081608,24.4999248,14.06024964,9.108358457,4.595611207,3.316910509,1.001596126
7,AL-SelSampling-BOLE-b0.2-,0.203999,93.34081878,66.44761438,73.41727886,75.81953825,71.17699876,6.155642366,77.3821,69.74699038,77.07021667,79.306641,79.14391203,85.002458,39.65270949,74.73001172,77.42873485,81.5922807,81.50442481,63.84223915,79.57443618,81.28741057,76.84753229,88.84338434,29.33223041,13.47605617,8.640437636,4.322811227,3.112567499,1.2263393
8,AL-FixedUncertainty-DACC-b0.2-,0.203135,67.59735031,33.96721269,47.23454694,50.71709333,44.20765006,12.936874,53.7169,36.30411148,59.0664499,53.69320074,52.6748061,53.15736081,8.974191719,50.05592661,54.7002869,59.45172314,69.92344998,19.45408,72.13981526,52.78907742,47.34708179,42.91929193,5.842983907,36.10762722,15.93904752,8.074529504,2.839456316,1.723709441
9,AL-VarUncertainty-DACC-b0.2-,0.204,69.68324223,35.26708623,48.1152169,50.90659155,45.6142668,12.53093321,54.8112,38.17735025,59.79606522,55.33398097,54.01836806,55.33227241,9.218615962,52.47482478,54.0390599,58.71809699,69.82950715,19.47146893,69.49346209,56.69475971,50.01801982,45.82358236,6.041510002,31.48493759,17.56353765,8.780085476,3.04679928,1.77930606
