,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.203998,98.25190932,90.19721327,90.12916642,89.98410573,90.27477239,2.56227982,90.0288,87.16581102,90.54854656,88.87422415,87.91488937,92.54135778,90.2025591,92.06615046,94.48467616,85.35274268,90.74382815,87.27313122,89.08209089,83.8995101,90.63790318,94.41280603,93.34155178,3.851166702,0.985203334,3.121420596,1.474430672,3.379177795
1,AL-VarUncertainty-LB-b0.2-,0.204,98.31618719,91.55191142,91.45241831,91.30327046,91.60221822,2.229083563,91.3425,88.85394311,91.55602788,90.87574764,89.49334096,93.26321205,91.64525853,92.83379222,95.68651856,87.08823457,91.49407937,89.41372757,90.31974133,86.54080535,92.03997367,95.10433145,94.00623931,3.499804799,0.784031131,2.738777029,1.354165466,2.768639393
2,AL-RandVarUncertainty-LB-b0.2-,0.204,98.33824614,90.35195485,90.27586633,90.14339467,90.40884309,2.542246579,90.1533,87.3214104,90.2854463,89.65040327,87.76444828,92.37166727,90.8739706,91.4405174,94.60774949,85.35876408,90.5683513,88.74159105,89.16352314,85.19237663,90.31655796,94.25160075,93.12015699,4.187362984,0.97691624,3.109414208,1.502911502,2.934627961
3,AL-SelSampling-LB-b0.2-,0.203987,98.3489437,90.62165042,90.57740763,90.47586602,90.67928307,2.47314299,90.4441,87.69167572,90.49104161,89.85625678,88.24129305,92.67733221,91.20085087,91.41949051,94.84216892,86.09138635,90.83535423,89.19093011,89.58535417,85.3769865,90.51403267,94.59962335,93.32041864,4.2200967,0.934159641,2.936642294,1.461746901,2.813069416
4,AL-FixedUncertainty-BOLE-b0.2-,0.204,96.72009753,84.99434704,85.40178075,85.69316753,85.11253991,3.926692812,85.1254,80.77322062,84.89565944,82.62082421,83.47094671,90.17726611,85.46875942,83.66460599,88.02134385,83.62443931,89.00560453,84.14984397,86.16609784,77.85279006,83.32595297,91.38380414,86.83405454,8.438241389,2.133506281,3.274742163,1.729489767,4.057484462
5,AL-VarUncertainty-BOLE-b0.2-,0.204,94.21038741,81.17424377,81.46954467,81.57557642,81.36397098,4.929749817,81.2131,75.73701778,81.40062168,80.15929791,77.11941221,87.23398172,80.92021682,80.46608014,85.25740663,78.45696257,83.74607851,79.95135428,82.35973894,75.64105628,75.8506373,91.05386064,81.91456174,10.03063155,2.629650981,4.177982687,2.715134044,5.095349824
6,AL-RandVarUncertainty-BOLE-b0.2-,0.204,96.41122803,84.53630591,84.98036299,85.27468553,84.68819827,4.042946599,84.6949,80.21180506,84.50276987,81.92346843,83.35704133,89.73381755,84.86374274,83.0723887,87.94161624,84.23110824,87.50563002,83.62268446,85.98766541,76.68419166,82.52647956,92.09039548,86.15225923,8.794107931,2.116211477,3.09860846,2.017526665,4.188278461
7,AL-SelSampling-BOLE-b0.2-,0.203999,96.36478412,84.58808285,84.96638805,85.20499193,84.72916523,4.016572128,84.7616,80.30454503,84.68865129,81.79891645,83.37894676,89.11334741,85.3911274,83.37590041,87.34627432,84.17360526,86.72000955,84.40917011,86.04454823,76.92018162,82.61145353,91.66026365,86.40937909,8.606714916,2.242439528,3.115177274,2.155895071,3.962633852
8,AL-FixedUncertainty-DACC-b0.2-,0.203973,76.7611964,51.99942606,55.72211269,58.75402429,52.99024626,11.76902926,56.3139,42.23776653,60.86356881,52.41866371,47.03612728,55.87778785,57.56465278,53.82116208,58.07333301,54.2465419,72.32570085,55.30338361,70.04670379,47.80140997,41.52893304,45.54952919,60.02465533,30.16366858,6.943743845,7.028539183,2.671778611,12.03741607
9,AL-VarUncertainty-DACC-b0.2-,0.203999,77.94122064,53.12267627,56.41714609,59.09885981,53.96890374,11.5197078,57.0459,43.37871097,61.54122122,53.52402052,48.17528346,56.5657699,58.16823482,55.17533554,58.15069576,54.23037568,72.20363839,55.7342537,69.57397761,49.59134903,43.34450362,46.5039548,60.83073362,28.35235292,7.17794432,7.342146022,2.740847506,11.98524823
10,AL-RandVarUncertainty-DACC-b0.2-,0.204,76.5983231,49.92040087,53.75285962,56.72147966,51.07975973,12.19637603,54.6588,40.01794296,59.9100893,49.96770739,44.83315043,52.12444335,56.73153027,52.83586945,53.27113434,52.00175545,70.26172052,55.23691854,69.17370217,47.06356793,39.40458381,41.44105461,58.31589011,30.97044956,8.304148351,7.297362197,2.686883828,11.72303622
11,AL-SelSampling-DACC-b0.2-,0.203981,76.55080908,50.11727307,53.78789587,56.59971087,51.24268011,12.15792339,54.733,40.17530789,59.99972116,49.82664033,44.6791367,52.564352,57.02324793,53.11937951,52.38015624,51.92345467,69.85702407,55.71853986,68.93120172,47.51702712,39.22087248,42.14538606,58.39891315,30.51458002,8.686435589,7.289918237,2.784318247,11.51436488
12,AL-FixedUncertainty-ARF-b0.2-,0.203996,97.01220309,82.27972202,83.52775314,84.39822794,82.67620116,4.527790876,82.7294,77.68470391,83.6157846,86.04255674,79.5574149,85.09820866,79.58227868,82.70035674,96.41230992,91.56860265,77.7681659,73.54170447,84.55990659,77.71717051,70.42427144,93.96082863,86.71882862,8.874440674,0.5859816,1.314459292,4.114153935,7.749918878
13,AL-VarUncertainty-ARF-b0.2-,0.204,97.42519019,87.44646692,87.7238666,87.92694935,87.52216638,3.336366553,87.2766,83.58482671,87.02733318,89.45845735,87.44689,88.72703922,84.915776,86.81249947,95.83643288,91.09890117,84.03882579,81.84808742,87.25794863,83.88576891,84.16312608,94.03992467,88.2640636,6.656956665,0.734068363,1.658562355,2.757797636,4.874447745
14,AL-RandVarUncertainty-ARF-b0.2-,0.204,97.14161995,84.18237125,84.94031472,85.45886328,84.42862297,4.10061334,84.3662,79.81106155,84.69851119,87.80242112,82.13467774,85.59657665,82.05330137,83.81842349,95.20391945,91.69199602,78.59380023,77.9861772,85.61134064,81.49719202,74.43899228,93.98041431,86.61517561,8.2967957,0.830390815,1.361404267,3.921821851,6.09265407
15,AL-SelSampling-ARF-b0.2-,0.203987,97.10606259,84.2120934,84.95699825,85.46372469,84.457997,4.087065347,84.4109,79.86782445,84.85319849,87.90219588,81.96953811,85.65655207,82.0227023,83.95111612,95.47287323,91.20044775,78.62493749,78.06924887,85.78767738,81.4732943,74.52217103,94.07834275,86.42849955,8.235382444,0.781268766,1.457695494,3.918247334,6.042732696
16,AL-FixedUncertainty-MOOB-b0.2-,0.204,94.49146758,80.88147072,81.69581715,82.03648318,81.35848799,4.919272758,81.1733,75.71545793,81.08055252,75.44534873,80.30633462,87.50759918,81.90178947,81.63293647,88.25688016,78.6202535,85.61664742,76.05569835,80.54248249,65.90512606,82.0782718,89.49077213,88.77578746,9.092465239,1.759866446,4.477301925,2.300951283,6.965778898
17,AL-VarUncertainty-MOOB-b0.2-,0.204,94.85691258,83.47660661,83.72517485,83.64202807,83.80922129,4.278311505,83.4531,78.70598668,83.79320034,78.1594271,83.97928944,87.62676932,83.56012593,85.51186056,87.45397179,82.36091612,84.41842903,78.46496286,82.1510688,70.69124149,85.67291006,91.1472693,89.38361679,6.984293823,2.04234825,3.680678121,2.592332084,6.091905249
18,AL-RandVarUncertainty-MOOB-b0.2-,0.203999,95.66591915,80.95773426,81.45318092,81.45644469,81.45001638,4.933579295,80.9003,75.44228196,81.21185433,73.84469296,82.30005551,88.27748698,79.59835355,83.94345478,84.11826444,79.07593294,87.19343808,72.95113322,78.6542722,65.82088661,85.80156783,89.3905838,87.58277146,7.545872248,2.498979126,4.555943762,2.009916402,8.057184934
19,AL-SelSampling-MOOB-b0.2-,0.20398,95.7497693,81.64374583,82.02321695,81.9791966,82.06735249,4.781515127,81.4805,76.19297732,81.67126819,75.1138199,82.92113393,88.44758902,80.15637509,84.49984683,84.44979215,80.11299352,87.20203799,73.63131252,79.03209389,67.65264667,85.9374065,89.73333333,87.98128208,7.271539686,2.504143547,4.280397171,2.016834823,7.83466041
20,AL-FixedUncertainty-MUOB-b0.2-,0.204,92.32570443,71.77036218,71.25802095,70.28470562,72.25885392,7.279869572,71.1677,63.22061771,74.5253782,65.31907512,67.54904475,78.83845689,68.2258143,81.03475603,66.10153514,69.26225292,70.90939776,64.11558626,68.99676666,64.5937388,65.9523667,88.77212806,72.9792694,8.099642632,6.667627489,5.868482032,5.576016143,10.18757956
21,AL-VarUncertainty-MUOB-b0.2-,0.204,90.62546524,74.41657846,73.43742924,71.93597717,75.00302205,6.804736183,72.8337,65.5175323,73.80502968,71.00049965,67.28563071,80.37451069,71.90333467,82.74094368,70.54956686,64.30966599,69.99066154,72.08904777,66.62654931,71.52766161,70.668422,94.43389831,71.75857905,6.980089492,6.026158392,7.888196521,6.21712309,6.912113421
22,AL-RandVarUncertainty-MUOB-b0.2-,0.204,93.26651561,75.54545362,74.8121216,73.78493457,75.86872517,6.406646948,74.6482,67.64196827,76.81690121,70.89607167,71.8319406,80.74907887,72.31175756,82.8560016,71.19895291,71.96385369,73.16878253,69.73708211,71.62145979,70.66256423,71.74256478,90.10922787,75.2078092,7.441965224,5.74079412,5.598218252,5.068895935,8.183361206
