,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.204,97.80529825,87.75516922,87.49440523,87.04780612,87.94569172,3.303157836,87.2121,83.56048459,86.37297874,80.64070046,85.90122557,92.35379009,91.72110609,87.8126842,82.48264562,81.77787739,88.90361368,94.26220968,84.982037,78.8823178,90.46436479,96.08361582,89.31612319,5.915643112,3.369805429,4.044831851,1.835918132,1.349590655
1,AL-VarUncertainty-LB-b0.2-,0.204,98.270039,90.52971805,90.38891843,90.14600613,90.63319175,2.486043673,90.3719,87.60198129,90.38144298,85.85395062,88.44201285,92.90371445,94.02818277,90.98204743,88.83417647,85.47541644,90.02993492,95.4084554,89.79073109,83.07586619,91.63425289,95.97438795,92.69072061,4.465149104,2.101249099,3.127543853,1.629172672,1.107103634
2,AL-RandVarUncertainty-LB-b0.2-,0.203999,97.82442823,87.68223862,87.5533766,87.27706925,87.83153118,3.281459041,87.3509,83.71647944,86.86255426,81.62758886,85.8373739,91.86137624,91.17199003,87.53075032,84.03899258,82.13916648,89.08050169,93.59593519,86.20861026,79.35483871,89.89228652,94.82561205,88.87630837,6.164899847,3.030026423,3.92332721,1.780455463,1.508586262
3,AL-SelSampling-LB-b0.2-,0.203996,98.05579535,88.69304118,88.64536818,88.46746759,88.82412591,3.006512387,88.4421,85.11171641,87.9544468,83.25449457,86.80682776,92.74101242,92.07368249,88.32360091,86.14613464,82.97369208,90.62546337,94.26844697,87.59445542,80.55973716,91.01430196,94.96723164,89.98490338,5.815640109,2.605212587,3.748394146,1.506486019,1.356829073
4,AL-FixedUncertainty-BOLE-b0.2-,0.204,96.06343261,81.71086867,82.11305044,82.12341757,82.10270957,4.75953401,81.8822,76.60834844,81.18917776,70.32202068,81.91841377,88.62428846,88.04764284,79.97575084,72.8073198,80.08190691,85.5049877,92.2471226,82.44117119,68.01911589,83.84656813,91.99020716,84.21648551,10.35406469,5.111698294,4.183625689,2.391467282,1.756814097
5,AL-VarUncertainty-BOLE-b0.2-,0.204,93.51602148,78.7459832,79.08388009,78.86596833,79.30310911,5.415195589,79.1599,73.13799557,79.67048669,68.91416206,73.67218162,84.50916426,87.52468363,78.99309271,73.52299934,72.67385047,77.64986864,91.4900305,80.36165499,64.85364397,74.70049668,92.71035782,83.88939211,10.71939097,4.697213548,5.635077861,4.089017008,1.935278554
6,AL-RandVarUncertainty-BOLE-b0.2-,0.203999,95.69417275,80.748694,81.2121974,81.23026139,81.19421684,4.978844036,81.0393,75.51341707,80.56728276,69.18411688,79.74700748,87.91924058,88.06142777,79.13750095,71.933407,78.57420713,83.94067506,92.5655168,82.05317047,66.64755078,80.96822452,92.31864407,83.98349436,10.85753326,5.225798703,4.424113628,2.712827904,1.673946685
7,AL-SelSampling-BOLE-b0.2-,0.203999,96.11632887,82.14899792,82.54144417,82.54718065,82.53583244,4.635027816,82.3462,77.20924194,81.68968277,70.69116747,82.14468999,88.79897801,88.94410623,80.53796169,73.13812433,80.36411041,85.73184454,92.96386227,82.877672,68.41875747,84.01232721,92.10621469,85.26419082,10.04895042,5.053927456,4.119031325,2.351916979,1.601312899
8,AL-FixedUncertainty-DACC-b0.2-,0.203901,75.66771324,50.42748201,54.62633334,57.87360326,51.73344931,12.08222259,55.3135,40.76737538,59.28050033,42.37542831,46.25687995,55.19785256,65.15759135,51.60939311,44.56956931,52.15730924,72.63145906,68.40028558,69.72845937,40.49402628,41.64921309,44.54011299,62.25543478,32.88567224,10.13403795,7.680125827,2.570077832,7.141199081
9,AL-VarUncertainty-DACC-b0.2-,0.204,77.48206576,51.95044445,55.48951649,58.15205414,53.06052133,11.75748087,56.1988,42.23724059,59.91540138,43.71055326,47.09819349,56.75131618,66.31482727,53.30033985,44.70708658,52.10220631,72.37737489,68.27326306,68.40817915,42.76284349,42.97648256,46.68700565,64.46809581,30.06426619,10.63595964,7.929018238,2.728048429,7.430111821
10,AL-RandVarUncertainty-DACC-b0.2-,0.204,76.39443442,49.31129289,53.10348165,56.00574995,50.48755006,12.40860113,53.8441,39.00024726,58.1291424,42.70300687,44.45233673,53.45092295,62.23893162,51.27622351,43.39086351,50.47430967,71.05663504,63.83071802,67.09897611,42.04062127,39.7235354,42.84444444,60.73017311,31.98069011,11.02846505,7.825403114,2.672355146,8.536092252
11,AL-SelSampling-DACC-b0.2-,0.203971,76.27765176,49.22087288,53.088561,56.04777452,50.42645041,12.42395788,53.8422,38.95025585,58.14708597,42.25206032,44.70818792,53.52099242,62.22971971,51.10348926,43.32278762,50.80708123,71.01824148,63.98727299,67.4462607,41.24432497,39.92160852,42.94839925,60.57165862,32.36989099,10.85106894,7.758887728,2.682848083,8.45709365
