,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.203906,97.90678052,87.78166869,88.23405767,88.31673068,88.15154308,2.965828597,88.1392,85.17403483,80.35601201,83.97669293,87.43330118,95.44042261,93.04319521,84.55611278,85.49089124,82.44081989,91.56064642,97.53518305,76.55512399,82.51806809,93.07160048,99.66465392,88.94826892,3.513351185,3.516018865,4.93954232,2.302747589,0.557483027
1,AL-VarUncertainty-LB-b0.2-,0.204,98.5762921,91.22302873,91.44945072,91.52052454,91.37849637,2.15765268,91.3707,89.2134044,87.4007792,88.63902763,89.75186679,95.9018789,95.01066492,90.35217239,90.7980127,86.05321534,92.45528946,97.94393278,84.64047406,86.5862533,93.79462495,99.62223664,92.24889291,2.273079907,2.203485245,3.790721495,2.040869924,0.480106829
2,AL-RandVarUncertainty-LB-b0.2-,0.204,97.97535108,88.54018432,88.92083729,89.02147857,88.8204335,2.797982316,88.8101,86.01265348,82.78683846,84.97338417,87.28932295,95.26508502,93.45302464,85.97852875,87.59644448,82.54355544,91.36216905,97.62669511,79.8301962,82.50710263,92.62083835,99.51993612,89.6240942,3.275232113,2.933560179,4.880583591,2.360025512,0.540510184
3,AL-SelSampling-LB-b0.2-,0.203955,98.30815644,89.6427853,89.98083922,90.08173684,89.88017965,2.532931754,89.8699,87.33744171,84.36198531,86.25750271,88.21153167,96.06215507,94.2636006,87.29166318,88.95997372,83.28738987,92.88637178,97.98328567,81.63429937,83.71828739,93.75752106,99.46953441,90.82125604,2.996070973,2.605551872,4.68784351,1.912682433,0.462509984
4,AL-FixedUncertainty-BOLE-b0.2-,0.204,95.84623786,81.37271377,82.01324964,82.05709577,81.9694782,4.512305546,81.9561,77.44460802,72.17129404,73.07211058,82.49319826,93.45584776,88.13384112,72.46963391,75.64745835,78.96939329,89.58656606,93.61242722,71.87929489,70.67537258,86.34977938,97.67553271,83.26741143,6.861533071,5.714249972,5.728989707,2.84588737,1.410867612
5,AL-VarUncertainty-BOLE-b0.2-,0.204,92.54845611,74.32801983,75.39490817,75.40168616,75.38815715,6.15547278,75.3817,69.22643478,67.78847871,65.58546727,71.71925246,89.72204397,80.26720056,69.64019514,70.64369497,68.26570735,81.74251977,86.71631355,66.03923912,61.20769576,75.54352186,99.42911323,74.72121578,7.2362922,6.385153308,8.748501049,5.566088468,2.841328874
6,AL-RandVarUncertainty-BOLE-b0.2-,0.204,95.44301122,80.13940969,80.84811436,80.87870053,80.81759138,4.800314064,80.8041,76.0045731,71.1454187,71.08359937,80.9289992,93.05685051,87.20758334,71.3635452,74.07998446,77.42680278,88.79174612,92.73142412,70.93118215,68.32378009,84.76734858,97.75737312,82.30827295,7.15445832,5.996972616,6.155066453,3.094633634,1.600439297
7,AL-SelSampling-BOLE-b0.2-,0.203999,95.78285214,81.34701696,81.98704732,82.01049577,81.9636262,4.513916866,81.9494,77.43633749,72.60323983,72.61579093,82.3657963,93.3174591,88.29092658,73.05345728,75.56332808,78.78693797,89.30979023,93.33896529,72.1626332,69.89981558,86.28961091,97.70198114,83.76409018,6.692860182,5.674593743,5.789447387,2.930928828,1.481754193
8,AL-FixedUncertainty-DACC-b0.2-,0.204,78.30438957,53.2001488,54.89297739,55.4898479,54.30982527,11.42642664,54.2963,42.87106865,48.69205463,40.22131215,48.50504575,74.76019336,60.65040975,44.74353901,41.84922356,50.23972407,83.00611264,57.61064021,53.59127577,38.76638588,46.98004412,68.05179899,64.15962158,16.72489302,13.5216483,11.60924853,3.490076412,11.78626697
9,AL-VarUncertainty-DACC-b0.2-,0.203999,79.54616973,54.09407172,55.62492431,56.14276008,55.11668226,11.22473972,55.1034,43.87969048,48.78288392,41.42258343,49.36054522,76.0642176,61.49988023,45.59384097,42.0886019,50.55215709,83.49070442,58.98849602,52.45891843,40.78552559,48.23555957,69.8627676,64.2406401,15.73312645,14.08721868,11.76164185,3.46268806,11.07902356
