,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.203999,97.39381389,86.76956134,87.12489685,87.3689021,86.88239811,3.428655453,86.5328,83.04888113,83.99147501,83.46548734,85.15736369,92.01834986,90.44827074,83.56873154,85.82983461,82.03352397,89.68224359,95.73017681,84.4389271,81.23067214,88.53254616,94.48132547,85.72851967,5.428404767,3.820244934,4.842713059,2.354644443,0.697270061
1,AL-VarUncertainty-LB-b0.2-,0.204,97.78327357,89.03908751,89.34677554,89.57248907,89.12235439,2.84801281,88.8279,85.93764934,85.82587957,86.84913515,88.27327262,93.27823269,92.04983019,85.18120956,89.19115145,85.50925061,91.08363447,96.89719926,86.49436281,84.63147455,91.22629709,95.58494805,87.67468944,4.913894818,2.921212589,3.863747141,2.028103899,0.513105602
2,AL-RandVarUncertainty-LB-b0.2-,0.203999,97.3921757,87.0536686,87.44992691,87.74607845,87.15587261,3.357293897,86.8376,83.42849412,83.39883612,84.46256112,85.93843226,92.51835819,90.40707305,82.79445192,86.23444011,82.98854213,90.56231612,96.15064196,84.02214172,82.76788532,89.10842047,94.56388655,85.31702899,5.697392319,3.768328257,4.562008674,2.134923049,0.623817184
3,AL-SelSampling-LB-b0.2-,0.203996,97.26137929,86.62429169,87.00264451,87.2568464,86.75005891,3.478677448,86.3595,82.82932428,82.50631443,83.43517787,86.11803131,92.33408688,90.10341421,82.11845409,85.32668538,83.04900313,90.22824835,95.56184105,82.90488013,81.63007709,89.42412568,94.54535243,85.24585921,5.888560406,4.001696287,4.560008999,2.219356409,0.72376514
4,AL-FixedUncertainty-BOLE-b0.2-,0.204,95.42568132,80.15537846,80.73509669,80.96762962,80.50396738,5.086844604,80.0339,74.85915077,75.79950759,73.25142727,82.20654022,89.6005491,82.13207407,74.53640536,75.17487161,80.87217635,85.88072429,88.37397048,77.11343563,71.43533336,83.59083404,93.66245437,76.7177795,8.583871353,6.727707313,4.939072401,3.337550946,1.846021007
5,AL-VarUncertainty-BOLE-b0.2-,0.204,94.7531871,80.10685276,80.62859735,80.79187537,80.46646376,5.08155259,80.0078,74.8356386,76.72848095,74.86767574,78.86940788,89.91401611,81.8952501,75.60304786,77.71537688,77.75278434,85.11838501,87.76978276,77.90019944,72.22918451,80.03452244,95.31929233,76.84912008,8.197823176,5.90552193,5.716821017,3.626132976,1.961463853
6,AL-RandVarUncertainty-BOLE-b0.2-,0.204,95.78916019,81.70697787,82.19231996,82.37971647,82.00584683,4.718132243,81.4854,76.6925256,76.8202203,75.49915097,83.3016422,90.70323229,84.0911585,76.03173449,77.30107754,81.48152304,87.46735387,89.61689342,77.62912613,73.7866835,85.20688447,94.19264252,79.21389752,7.973247073,6.175514348,4.836464075,2.925482085,1.679953634
7,AL-SelSampling-BOLE-b0.2-,0.203999,95.69938513,81.43607089,81.87319143,82.00328396,81.74357491,4.787386587,81.1941,76.3310854,76.8189616,74.99091109,82.89432483,90.32186063,83.82754948,76.33048603,76.77320693,81.24662719,86.76794162,88.89815803,77.3189792,73.29261146,84.61249812,94.18477956,79.30900621,7.812305286,6.321497873,4.877957332,3.113571385,1.81160106
8,AL-FixedUncertainty-DACC-b0.2-,0.203994,78.42050913,55.54372287,56.97834578,58.07521513,55.92235495,11.26803599,55.7548,44.08998221,55.05380167,48.02432127,51.42161458,70.24051289,58.3923839,49.52165931,49.04575855,53.35311319,79.88370046,58.57184412,62.00089544,47.06757427,49.63976585,62.68407751,58.2194617,20.5974997,13.94720948,10.84561259,3.420524363,7.529333838
9,AL-VarUncertainty-DACC-b0.2-,0.204,79.38626663,56.33952182,57.62535938,58.63082395,56.65401318,11.07835123,56.4723,45.01898576,55.63938829,49.24823493,52.11722846,70.8791418,58.79232473,50.73249663,49.55478437,53.88642444,79.95676997,59.02364436,61.60771704,48.95956363,50.46980537,63.66413929,58.56884058,19.4931792,14.21180462,10.79274618,3.4587262,7.435299962
