,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.204,96.68737552,83.59812999,84.06674713,84.02864306,84.10501501,3.839650992,84.8777,80.72466829,82.10475542,71.8295251,84.61959471,91.87289123,89.54830801,82.54966755,75.85790742,82.27425692,89.39224335,90.06914008,81.66885184,68.21733913,87.10617668,94.49557309,89.03713428,6.288520565,3.341910322,3.764347116,2.232574313,3.570902645
1,AL-VarUncertainty-LB-b0.2-,0.204,97.18812402,86.70086596,87.20530924,87.37914493,87.03253541,3.076613779,87.9065,84.56981469,86.45218243,77.95732134,86.94146225,92.51466747,91.71960261,86.39920301,83.28863833,84.88743108,90.63853867,91.68191357,86.5094587,73.31258437,89.10102945,94.47328796,91.76631658,4.96419071,2.259594305,3.182898718,1.94311546,3.033269703
2,AL-RandVarUncertainty-LB-b0.2-,0.204,97.05116917,85.12896193,85.51510432,85.51783919,85.51296026,3.521404061,86.1444,82.33979692,83.64491973,75.12660831,85.79002907,92.56226963,90.05927553,83.8073292,79.27712563,83.01885503,90.54652239,90.93936368,83.49316351,71.4339283,88.75688293,94.67264952,89.20817704,5.875724712,2.883022177,3.642126495,1.968895764,3.237251159
3,AL-SelSampling-LB-b0.2-,0.203988,97.37205626,86.36395416,86.67808715,86.69519776,86.66117764,3.237840134,87.2552,83.75474009,85.05148512,77.54660412,86.42043346,93.05139831,90.99484411,85.06111169,81.37226463,83.68661355,91.41086066,91.94513827,85.04476494,74.08729564,89.34522384,94.75396013,90.07464366,5.437555419,2.606904668,3.494693368,1.773445088,2.876602127
4,AL-FixedUncertainty-BOLE-b0.2-,0.204,94.68030856,76.8907117,77.94878429,78.11556087,77.78276234,5.258322191,79.3478,73.62295941,77.9374102,61.85981511,77.50226898,86.47489828,85.41992062,76.79274744,66.82314229,78.6648976,82.90887061,85.3881464,79.11893613,57.58887056,76.38496529,90.36680118,85.45423856,8.7086829,4.399764614,4.154180474,3.711284579,5.317698391
5,AL-VarUncertainty-BOLE-b0.2-,0.204,93.83717669,78.19767012,79.14388941,79.28192762,79.00637294,4.93759385,80.5354,75.1561865,79.74566172,65.03912687,76.47308029,86.77550238,86.94566947,79.16317511,71.29505018,76.07990583,82.62890534,87.24260161,80.33789099,59.79751012,76.87574814,91.36842739,86.65228807,7.701111793,3.705143886,4.847284253,3.82807535,4.606353968
6,AL-RandVarUncertainty-BOLE-b0.2-,0.204,94.75157571,77.83533011,78.85006346,78.99788362,78.70288486,5.017411341,80.2602,74.79530028,78.88345143,63.17217318,77.63213352,87.28412915,86.6939061,77.58889789,68.29503833,78.447378,83.45902824,87.19907563,80.2266342,58.76931153,76.84163275,91.47804614,86.1987997,8.443353114,4.199339995,4.233179657,3.609602264,4.601581674
7,AL-SelSampling-BOLE-b0.2-,0.203997,94.98866233,78.71198609,79.64618221,79.77932945,79.51354315,4.83468555,80.9819,75.72050633,79.43345073,64.21254211,79.28520011,87.71393837,87.08703753,78.4535501,69.06011348,79.84212354,84.21269776,87.32816235,80.44128114,60.00449978,78.74491262,91.5274348,86.8495874,8.045972307,4.136454896,3.987777938,3.420866458,4.582356149
8,AL-FixedUncertainty-DACC-b0.2-,0.20399,77.42004921,53.00207117,56.40703703,58.13701686,54.78516504,10.85356824,58.1515,45.9279766,58.80741338,38.38850286,48.45740862,66.32436842,66.95144904,52.89554407,43.40179069,53.13316069,77.21643479,64.03815405,66.3970781,34.61826909,44.61216184,58.14190207,70.1564141,21.67819385,6.953130409,7.897997407,3.415230764,14.32328879
9,AL-VarUncertainty-DACC-b0.2-,0.204,79.12895481,54.4333883,57.29525361,58.68823053,55.96699072,10.58038535,59.0656,47.23169717,59.62986428,40.20794401,49.2854149,67.48135458,67.78265177,54.61079167,43.92555583,53.05071178,77.01131668,64.84277668,65.66810264,37.07739613,46.02525736,60.05782088,71.00637659,19.87695246,7.283709875,8.173053835,3.57039222,13.99781838
10,AL-RandVarUncertainty-DACC-b0.2-,0.204,78.17042164,52.24983868,55.4524228,57.05268026,53.93960563,11.1249008,57.0954,44.59418202,57.54332787,38.69260695,46.42514284,66.62942482,65.32776369,52.33021269,42.47277496,51.98087647,76.81133186,61.66820534,63.91346694,35.53697315,41.95774479,58.83635488,69.45348837,21.20441989,7.40774929,7.779018393,3.536697963,15.69661849
11,AL-SelSampling-DACC-b0.2-,0.203995,78.02632534,52.23199608,55.51672262,57.17065939,53.95604722,11.10346926,57.1951,44.70189573,57.7506797,38.49887837,46.82939645,66.14635053,65.55943062,52.27924791,42.49404476,52.53490314,76.57677724,61.9683239,64.51058251,35.19724014,42.25460857,58.22140577,69.5963991,21.44996931,7.329979461,7.662200451,3.546290634,15.52890646
