,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.20049878487879766,96.51570417347853,79.67455418769312,79.34424473417928,78.39138175797825,80.32225599630239,2.875157064027589,77.6953125,1.3382888192103968e-05,87.30101960028364,79.66452461751584,87.40946123517085,89.759465454616,84.40142050099574,74.41229424011502,63.47943545054717,69.32489133614064,85.11903670783967,88.96048537382671,89.23749113237493,80.24294485909572,72.00193402687272,58.566045706534496,76.87793609692123,82.85283511022192,85.9131419939577,90.28863293811177,89.02304637243385,77.05132872224245,69.31949857789951,63.13698393504923,87.52315943442224,6.1188009924913045,10.362532791868626,1.4381815580880977,0.14261627454540737,0.8152834813890703,0.585403933326828,0.6632804164837949
1,AL-VarUncertainty-LB-b0.2-,0.20068948661989766,97.44668566277794,78.37494108265305,78.22610333635758,77.31207866324306,79.16319580171225,3.1754388452036126,66.6953125,1.5025739897585789e-05,86.17670547252035,77.80309780052761,86.05402103079543,88.81910084915049,83.32081748308812,74.6295017934239,61.52439004756599,66.3143855064109,84.79346655946952,88.7848438237906,87.38429414019959,78.85956345682796,70.22092027547868,56.46324964355224,75.41336278032131,84.05831652253104,83.48649924471299,90.30232861867766,88.32186608491358,79.66508918820531,67.63509954703466,59.18638797719812,85.5450999512433,6.0519215975209395,12.405587969540932,1.5530446137424851,0.16058381537876235,0.8681076219688233,0.595126364999246,0.5936999332741006
2,AL-RandVarUncertainty-LB-b0.2-,0.20068914239292818,97.51818003382995,78.08703574875636,77.9359187642248,77.0112093743974,78.88483325052246,3.199795855518235,67.425,1.8689950879585618e-05,86.03104583037872,77.58139250353406,85.91415993053053,88.71961940902905,83.44058457843326,74.93890807263361,60.28901328910481,65.76317971409749,84.53158286878677,88.38775934966414,87.47177742492462,79.03340327382082,71.08054152030161,55.00533143365682,73.99312915703418,84.10652346137952,83.576708836858,90.00448286451513,88.37221010236617,79.3483800509647,66.73022226904035,59.19157021938158,84.97025841053144,6.301155017173566,12.268407952678938,1.5378224620271506,0.15437558904654441,0.9075113863231143,0.6413256571068668,0.5879729242714566
3,AL-SelSampling-LB-b0.2-,0.20066453016460933,97.47691997725205,78.83400374361894,78.51358943358625,77.49651203339519,79.5600365746478,3.0416981726873864,80.1671875,1.8273717817565837e-05,86.67387248456141,78.62258301113272,86.65929255666853,89.24973764145633,84.16553369706294,73.7837316367419,62.00791529697418,67.0634451154709,84.87892768769984,88.57958715590034,88.31929162299357,80.22313261751246,69.17000970646781,57.06811776893257,74.86523968533496,84.25020567662457,84.82104418429002,90.20052876622391,88.5235218437098,79.21368765926465,67.898451490572,60.7427880462947,85.52023403217943,6.27574680636668,11.352284598150556,1.4317258985654497,0.16921307704944963,0.8491581207273949,0.6286403676072705,0.5851183403449051
4,AL-FixedUncertainty-BOLE-b0.2-,0.20062821421932764,97.60656553556586,79.69265499076285,79.27498719634119,78.47233598545984,80.09510085978222,3.4950543661858537,100.6484375,2.2701447205488676e-05,84.68680509180534,75.5628168383806,83.97460290025926,86.78703788701429,85.2840566023531,78.57322403146665,63.30243343513935,72.19277294168143,84.01561157324242,83.30478723434541,87.91141843890735,82.66824663517755,79.42599129214801,58.62492587407822,76.29349201029478,81.07749041326744,84.65714690332325,85.69232018242083,88.0718241315657,77.75027302511832,68.80122195301803,68.51154488397535,87.18137493905412,9.73651847919127,11.21443278884556,1.210802959333013,0.09573465452690375,0.8069897938651207,0.6559625296064011,0.7449393579327103
5,AL-VarUncertainty-BOLE-b0.2-,0.20068948661989766,97.66258906929227,79.66364507235436,79.52700187143229,78.96136013057131,80.10144760093536,3.437152909449074,103.5734375,2.208774133921704e-05,84.95130909516499,75.97355775636962,84.22261668153098,87.04766563096538,85.66042621683799,78.89974417581618,63.9084256598004,72.35476739426018,83.92726690245102,83.55482732693486,88.11603371775786,82.75576567968011,80.22132213556986,60.436240881949594,76.57567413184368,81.06965704026308,84.90214312688822,86.00559122629288,88.77803882083124,77.63014197306154,67.81207205309175,68.58409627454367,86.99804973183814,9.589730532109694,11.03815445180057,1.2131321319448776,0.09103092872644894,0.7375957754685321,0.646878797824872,0.7435477482685164
6,AL-RandVarUncertainty-BOLE-b0.2-,0.20068897027944343,97.82332223506869,79.80191790893039,79.26405373015065,78.34806876918611,80.20286593874133,3.515297466062421,102.7921875,2.1748576969710282e-05,84.60861393568464,75.43790711599453,83.85092526434491,86.71784950425591,85.35231136092837,78.8460493439307,63.34012670259458,72.05001117250322,83.94602967437963,83.27334223077077,87.7848403453475,82.65579122110752,78.91264573723431,58.77317448289839,75.98333495751358,81.05335240943077,84.43863293051359,85.67756555748126,88.23208592045644,78.81689115398615,68.68324028231328,68.51557551678471,87.05607020965383,9.73383680235771,11.345734621831237,1.2141224888034656,0.10043838032735855,0.8004458294474899,0.6677075109333003,0.7447966287363827
7,AL-SelSampling-BOLE-b0.2-,0.20067795501641963,97.7438618454644,79.29440312311405,79.33783080330305,78.92373082543273,79.75788993665635,3.4952842481950923,115.1796875,2.4291179420995634e-05,84.75062477194963,75.6324957262018,84.00910850924524,86.809744768139,85.59485512730473,78.86226767649205,62.91200189212272,72.5313801227376,84.07220709047948,83.19057736777026,87.85862763969673,83.0183353811637,79.52259011578619,59.987017399590954,76.99029458812403,81.89867328589722,84.84629909365557,85.78684861684215,88.33892711305027,78.22715689843466,66.16348888654798,68.57488339955087,86.3676255485129,9.839289003499726,11.282283825589246,1.1850903608933754,0.09576924074602473,0.7338688652520738,0.6320290253617081,0.6986594160234934
8,AL-FixedUncertainty-DACC-b0.2-,0.005624496568057113,55.87649751500402,13.19034592965455,34.90614135590231,62.87200127031805,24.283025363891895,13.843393354974703,12.3828125,1.1660431498765119e-06,43.11403206818448,3.726433170218062,12.90566585604748,49.719603967704835,5.2816350936972745,52.72259656620353,19.3380173536621,9.524533854681874,10.119563459022176,46.962375106004004,50.95789320504179,55.72410851664208,68.97642845346175,75.16344624253968,56.317962735558226,86.00179463297889,19.899641238670696,71.57094397831283,2.811993063713151,53.73134328358209,11.254608659011904,5.277249956814648,5.435397367137982,18.257776862817327,68.29388232211775,0.12891145109287713,10.012917952841688,0.06409235738444391,0.11454018043271919,0.03163235813609942
9,AL-VarUncertainty-DACC-b0.2-,0.20068948661989766,89.87277578666864,70.70834565067479,74.39094538660382,76.99205083437465,71.96008816414769,4.102246595788211,44.8140625,3.831269128972457e-06,82.47545661707507,71.69453287838255,81.87795687645396,85.30318732604803,81.87708944696882,74.46682490358673,54.05295391336333,67.05078006114296,74.80742547588163,81.5685839545731,84.75142650910597,80.62445838073214,79.09467761062751,62.10909789061655,74.28158297390044,76.51452852106686,82.18981306646525,85.86224545624619,83.16971527661242,70.36403349108119,47.852101548509424,61.106696608510404,73.17601170160899,10.657010824222855,14.700766851073691,1.3106639425739741,0.0884196691828141,0.48498825060934114,0.6519883969519823,0.8218882359028156
