,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),F1 Score for class 7 (percent),F1 Score for class 8 (percent),F1 Score for class 9 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Precision for class 7 (percent),Precision for class 8 (percent),Precision for class 9 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),Recall for class 7 (percent),Recall for class 8 (percent),Recall for class 9 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent),FalseAlarmRate for class7 (percent),FalseAlarmRate for class8 (percent),FalseAlarmRate for class9 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.19783815986714923,69.4127854613072,0.0,,,26.38502579158301,5.318233156420028,29.821875,5.23349725214454e-06,70.86327681708053,46.61288850757979,77.86363433509676,67.42057585892621,19.924105281888988,40.53349648540566,52.2922498881242,15.093252256203163,12.683846885199298,22.993558103047086,,,75.8788407926103,66.2525857172964,53.62525345893433,59.207509901699176,83.90576832750483,33.01785585582905,30.628909712677785,90.55744332215646,,,80.2698026116296,69.09447358358112,12.274041387705418,31.629325580069555,38.84651162790698,9.987929993964997,8.414839797639122,13.333333333333334,0.0,0.0,25.9453677403759,26.04524045741736,0.5306108495015631,0.546066086785107,0.039165786899377227,0.04536314685382288,0.029576758875141145,0.00028950333290712015,0.0003014990532929726,0.00034973510580692935
1,AL-VarUncertainty-LB-b0.2-,0.20048275387993986,75.37178541578311,0.0,,,30.77518009869895,4.618383457908983,29.696875,3.4433954052575345e-06,74.68163931302543,53.675048603353844,82.18756242900422,70.4708181043783,25.287493131151308,45.519908722102834,65.89155298677716,30.507091693775568,15.704398317157906,17.96410630552402,,,78.00069815447367,71.6558369427556,51.53648802061356,58.08075406477161,87.16124682953364,44.49027913499679,28.955196957859975,87.5005301887655,,,86.85249539138346,69.32818911838733,16.762527896124972,37.44142295194117,53.04186046511628,23.277006638503323,10.84317032040472,10.205128205128206,0.0,0.0,24.610890191575514,20.071703827476373,0.7878506246763294,0.5843949436956362,0.03092099528315593,0.05848631613545624,0.038851953165099665,0.00032569124952051007,0.00014471954558062687,0.0002653162871638774
2,AL-RandVarUncertainty-LB-b0.2-,0.20048287447796134,76.22452736268926,0.0,,,29.92932039821229,4.845021241410981,30.94375,4.166851059481916e-06,73.48035036137198,51.42521344450671,81.3608534536917,68.72468546941225,23.821978286932445,44.50597795030488,59.48215175952471,21.52402953175875,16.65450538025178,26.796377678456377,,,76.57570385828431,70.82962110077776,49.171314752266255,55.42171836216124,78.2514632827833,34.76806270736516,22.68617550941537,87.9772422432521,,,86.79365430803368,66.75506383658747,15.725299249340637,37.204834388005246,47.98449612403101,15.703077851538927,13.229342327150084,15.897435897435898,0.0,0.0,26.68708527225479,20.123815988721216,0.8124400932424546,0.6486459847719488,0.05205962400844577,0.059561787651170206,0.06553021382462879,0.0005186934714585904,0.0003617988639515672,0.00019295729975554724
3,AL-SelSampling-LB-b0.2-,0.2000921368884022,76.17908344076378,0.0,,,30.000831283305217,4.8445502225572,34.1453125,4.34587330932522e-06,73.53279844090879,51.501271442281904,81.31934929513056,68.73727050477075,24.878395189987355,45.59844995168829,61.2714177547564,22.574678532280494,16.3168160087081,25.996555766653568,,,76.39367705350995,71.03959763621012,49.84570641069512,57.634971948349495,83.3709210385449,39.964454208829025,24.548140018987688,87.30362135534548,,,86.93167214566598,66.58992198067494,16.580188679245282,37.74471238811926,48.514728682170535,15.841882920941462,12.369308600337268,15.435897435897436,0.0,0.0,26.99747386233154,19.868915461333607,0.8334335736145633,0.6018899539215927,0.03864519065929277,0.04845663795520238,0.055011080717136764,0.0006031319435565002,0.000747717652166572,0.00032561544333748594
4,AL-FixedUncertainty-BOLE-b0.2-,0.09883984703346958,55.03249288630974,0.0,,,15.441112517997421,8.901691625526253,35.178125,5.227977128621812e-06,48.94725163138973,10.693667261312475,33.399543055829426,58.93605102030368,14.491587347909718,18.5492324420806,15.76596892507433,8.907365278642734,4.9709895245532305,,,,66.74558077246317,46.2328422865137,49.59118208496076,83.18885239039017,79.6530389853215,39.33457371292185,30.807982211168486,,,,25.329678527938086,84.07592473161239,8.99878271454656,10.844877715067556,12.98604651162791,5.111647555823778,2.8077571669477233,4.256410256410257,0.0,0.0,13.280207892669367,74.01627069082554,0.4992978959670486,0.05912574230589164,1.1367400505583696,0.016119988786094757,0.00880418832992156,0.00030156597177825005,4.8239848526875625e-05,0.0
5,AL-VarUncertainty-BOLE-b0.2-,0.20048299507598283,74.98328386981686,0.0,,,31.351057406017627,4.755574280787602,49.5484375,9.14964535816883e-06,73.44015504081639,52.113040996934295,80.6008119755545,69.35519621275893,38.40894125826974,49.150154699113834,68.79563562190967,22.70285135484618,17.76248658952675,14.185487572560396,,,78.36153030007718,69.58852888094856,45.71614064180369,71.47038221310447,91.83694312027464,40.44440757798808,33.35321791854484,91.98820787056081,,,82.98628726000298,69.14338547938794,33.150994116453646,37.46422666894704,55.054263565891475,15.817742908871455,12.150084317032041,7.743589743589743,0.0,0.0,23.043717894482384,22.119095608584406,1.967739934081991,0.3236084074612523,0.01909256443286488,0.04700656400143073,0.0350235201053121,0.0001688769441958201,0.0001688394698440647,0.00012059831234721699
6,AL-RandVarUncertainty-BOLE-b0.2-,0.20048263328191837,75.829937918245,0.0,,,31.637612954507766,4.764870896277996,50.3828125,7.881973879799867e-06,73.27157106660509,51.944666727064615,80.57335195349782,69.04069851770785,38.96513249227944,50.540979981095106,69.3650885249249,16.452104622571824,17.38940222592855,20.652211305977577,,,78.44656554589322,69.4313377420998,44.3960025814548,69.38173718886597,92.49902205430502,32.079548523377305,31.216509073382042,93.34248907292385,,,82.82304837723754,68.6608584979425,34.73676202069386,39.756570320962325,55.525581395348844,11.098370549185276,12.082630691399663,11.692307692307693,0.0,0.0,22.863818214782135,22.12751292360712,2.1735849343288987,0.37974028534115273,0.01768816527356727,0.04711531954796362,0.03824809937018049,0.00020506486080921005,0.000627118030849383,0.0001688376372861038
7,AL-SelSampling-BOLE-b0.2-,0.2003654120050507,76.47191926225157,0.0,,,31.33947535523664,4.792962852249657,52.6140625,8.55868660275721e-06,73.15267347723893,51.683861054587986,80.39743370960682,69.01038118178089,38.235760624869606,50.395579312689236,68.9322373552399,17.17847814026822,17.505186048630172,18.269950069866606,,,78.33417722148621,69.20197911971701,44.56594657610505,70.11122722201199,92.73597778813208,33.19703888918811,31.486397034961804,87.8224060561017,,,82.57714318718925,68.82300400084469,33.59961452627308,39.35693518043442,54.86821705426356,11.635485817742907,12.175379426644183,10.35897435897436,0.0,0.0,22.950238713966275,22.418275808051803,2.093561535081777,0.3629228987507084,0.016804362354354126,0.04776785282716085,0.03838094720506271,0.0003256912495205102,0.0010974565539864204,0.00025325645592915575
8,AL-FixedUncertainty-DACC-b0.2-,0.002073682979157044,50.650675616000164,0.0,,,11.17927096932608,9.450237566263636,9.678125,4.891863467896151e-07,46.85414031097405,5.1995799486858045,35.88608577066841,56.32105669794462,0.09780391500224425,1.487817222746618,4.983224579499382,2.762446148911412,,,,,57.95433871228322,43.742625862971536,59.91926703204898,61.681786341259944,99.8294069250236,3.133373419780578,,,,,26.541925174357324,79.31540467887658,0.048945019273686344,0.7981300952055184,2.6139534883720934,2.474351237175619,0.0,0.0,0.0,0.0,19.489188372514654,74.7440864706804,0.0016966986549231482,0.11449375354212354,3.6320667912869134e-05,0.1528740465763754,0.0,0.0,0.0,0.0
9,AL-VarUncertainty-DACC-b0.2-,0.20048287447796134,67.22645939778877,0.0,,,30.319415269064383,4.78515842240082,16.9859375,9.291928468479052e-07,73.42105231421574,51.843053979827914,80.80555006759755,69.27853739371844,32.11415023353343,52.32104435143825,62.23844719414463,10.098875904927777,18.604338051764863,25.47586861349436,,,77.87023764927694,69.84753809805275,43.93144723152856,71.19894110679255,93.10832722454992,11.619791578742653,30.95035386740173,95.08840107932667,,,83.97094285315478,68.71887359956169,25.307871779265568,41.360241719400264,46.77209302325581,8.95594447797224,13.338954468802697,14.769230769230768,0.0,0.0,23.970363207832232,21.712787843976812,1.6125854522018463,0.3618633417933617,0.013644464245934507,0.13691114913527255,0.04311516095722904,0.00020506486080921005,4.8239848526875625e-05,6.0299156173608496e-05
