,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgEvaluatTimeS,avgModelTimeH,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),F1 Score for class 7 (percent),F1 Score for class 8 (percent),F1 Score for class 9 (percent),F1 Score for class 10 (percent),F1 Score for class 11 (percent),F1 Score for class 12 (percent),F1 Score for class 13 (percent),F1 Score for class 14 (percent),F1 Score for class 15 (percent),F1 Score for class 16 (percent),F1 Score for class 17 (percent),F1 Score for class 18 (percent),F1 Score for class 19 (percent),F1 Score for class 20 (percent),F1 Score for class 21 (percent),F1 Score for class 22 (percent),F1 Score for class 23 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Precision for class 7 (percent),Precision for class 8 (percent),Precision for class 9 (percent),Precision for class 10 (percent),Precision for class 11 (percent),Precision for class 12 (percent),Precision for class 13 (percent),Precision for class 14 (percent),Precision for class 15 (percent),Precision for class 16 (percent),Precision for class 17 (percent),Precision for class 18 (percent),Precision for class 19 (percent),Precision for class 20 (percent),Precision for class 21 (percent),Precision for class 22 (percent),Precision for class 23 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),Recall for class 7 (percent),Recall for class 8 (percent),Recall for class 9 (percent),Recall for class 10 (percent),Recall for class 11 (percent),Recall for class 12 (percent),Recall for class 13 (percent),Recall for class 14 (percent),Recall for class 15 (percent),Recall for class 16 (percent),Recall for class 17 (percent),Recall for class 18 (percent),Recall for class 19 (percent),Recall for class 20 (percent),Recall for class 21 (percent),Recall for class 22 (percent),Recall for class 23 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent),FalseAlarmRate for class7 (percent),FalseAlarmRate for class8 (percent),FalseAlarmRate for class9 (percent),FalseAlarmRate for class10 (percent),FalseAlarmRate for class11 (percent),FalseAlarmRate for class12 (percent),FalseAlarmRate for class13 (percent),FalseAlarmRate for class14 (percent),FalseAlarmRate for class15 (percent),FalseAlarmRate for class16 (percent),FalseAlarmRate for class17 (percent),FalseAlarmRate for class18 (percent),FalseAlarmRate for class19 (percent),FalseAlarmRate for class20 (percent),FalseAlarmRate for class21 (percent),FalseAlarmRate for class22 (percent),FalseAlarmRate for class23 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.21337877572841485,76.0434637690638,7.568651585953809,15.314359080119754,14.440206739100608,16.303757069040024,3.6389650679296195,2.8953125,1.4744271175004544e-07,16.30379577653034,12.664835581787422,31.189386413045707,27.7727290675468,19.93105053330269,20.75004007351443,23.757170145949136,8.717120685174109,10.912878790364323,3.775038895404099,2.312923348726547,9.114588378693734,12.84338721165243,10.140653974834112,7.007587372998482,2.7684752900667577,1.5133133561610725,1.5548469839509216,1.2504683117168491,1.6536772807011022,8.252108438956762,13.270981707225676,12.935990474273845,12.774613599098691,25.691195954369306,30.911650264053804,21.403977670419028,20.834909112770006,15.862864601735685,18.58236034676211,18.128464094232694,14.462425201096067,16.061621275965052,18.226743653697433,13.49784483046425,12.774448153068104,14.646695918888705,11.959950059826362,9.27801340309775,9.65431395318306,12.293142505681416,9.264421420297023,7.161848942184709,14.086034917047968,13.649833210563989,14.514998318597984,10.734399285543523,8.780776546733494,18.03303592724786,22.671838389310366,57.46591820368885,41.6439454691259,26.84041700080192,23.560545308740977,34.498797113071376,6.287089013632718,8.29326923076923,2.10906174819567,1.2670408981555734,7.1348314606741585,11.507618283881314,8.88532477947073,5.70168404170008,1.627906976744186,0.8099438652766642,0.8500400962309543,0.6896551724137931,0.8821170809943866,5.9262229350441045,12.293504410585406,16.335204490777866,23.440256615878106,44.66720128307939,48.57257417802727,9.176109619608798,6.88190788326767,6.193298699487465,4.496356472926327,6.7780063456643775,1.6209337191869182,1.8804044630404462,0.4096788814894878,0.35842543844356894,2.1096855170490203,2.925281545273875,2.866357518914961,2.4423834594330738,0.6593215020396779,0.2552212265960043,0.3622607301000663,0.37132596492451453,0.23186081377915696,1.627209650988459,3.152609741640808,5.914717060074613,10.589588926466998,8.829538719012586,7.202677730901991
1,AL-VarUncertainty-LB-b0.2-,0.21336541031809678,74.65445648332314,9.569774975972212,14.821831247918723,14.330458485498042,15.352200516711566,3.6803179331612306,2.98125,1.5189974025512734e-07,15.352846832397756,11.672370146909717,24.507246222973517,22.10124849917688,18.790260764762643,22.4634166483563,21.572881835947147,15.766949127233156,20.037288648234835,18.01923669702763,11.92835972588497,13.904536140879383,9.637484133259068,7.715298778930318,7.194697907103675,4.021249855871541,2.188300224720055,3.803319917376959,1.88641071529637,2.3550270586240467,4.353749213254105,9.665425151868117,9.399602678975995,12.933409499663929,21.695762305484827,29.571635337599865,21.154068846272274,20.456405436120928,17.460876406661782,20.17715678598772,19.775812296053594,15.23200949503811,14.237599229899596,13.398212083572554,8.374746320863668,13.166324361301932,16.165175143368124,14.0763966707845,9.918100192992501,9.217038312275658,12.244068890744284,11.99242701481258,8.47018424541803,9.405459407165417,10.16744341754392,15.242132289407019,10.845928893024423,11.23680897587965,18.104280800154076,23.412348136610653,29.47874899759423,24.145950280673613,20.649558941459496,26.046511627906977,24.44266238973536,16.896551724137932,34.35096153846153,27.706495589414594,21.259021651964712,15.008025682182984,7.048917401764234,5.4129911788291905,5.693664795509222,2.6303127506014436,1.2189254210104252,2.365677626303127,1.082598235765838,1.3712910986367282,2.8548516439454685,7.2975140336808355,8.412189254210103,15.348837209302328,27.145148356054534,40.58540497193264,4.779819392629268,4.09295352323838,4.294480666643422,4.511348976674453,4.364213242216102,4.091907534604791,9.052998605299862,7.809002475506434,10.229420173634114,4.28561467122237,1.588159408667759,1.4357937310414561,2.2331857327150373,1.1380356333461177,0.385969805794777,0.7708936229559639,0.48882535476447825,0.5596039189707472,1.0149576374603395,1.7865485861720305,3.01314459049545,5.285729228409052,5.335936682821379,5.779087200585755
2,AL-RandVarUncertainty-LB-b0.2-,0.21337209302325583,75.18138905180624,9.464780745248492,15.094028284708477,14.134607231186653,16.194139938730537,3.6437314655836914,3.0671875,1.5679187749305533e-07,16.194199411921947,12.550446453613375,30.442261702011706,26.513019042561886,18.518070889547772,22.04615278871441,23.42749830271675,13.46814765751859,11.851762643629845,9.973699832484778,6.9223711633224525,10.724870016375506,12.160224282381288,12.401302953589015,6.8662669360654744,4.441536288108914,3.055088848934652,2.7565612736082414,2.0224642605480296,1.6486108457858641,5.674514504207904,10.929177991446066,12.873400345150719,13.155955050178955,25.376709951348943,30.002493507979683,21.50106162336884,20.51295363111339,16.235225448747883,19.33429175278345,19.31519926735794,15.283412637415235,13.311011960923164,16.892551981961738,10.101910326974107,13.899955990866877,14.912144830033393,12.52088666932644,9.66621795725641,9.752319134845312,11.13531131768596,9.643022236794469,7.627529603136379,9.477424674484045,11.797673889776174,14.54712348966559,11.523495768594483,9.461297252316484,18.280936587461817,22.497615515590095,52.30152365677627,37.746591820368884,22.15717722534082,26.439454691259023,30.585404971932643,12.357658380112268,11.113782051282053,7.1451483560545315,5.340817963111467,9.3338683788122,10.617481956696071,12.999198075380914,5.6535685645549325,2.9591018444266237,1.8123496391339213,1.6439454691259023,1.178829190056135,0.9141940657578187,3.8412189254210105,8.941459502806739,14.691259021651964,21.804330392943065,41.668003207698476,45.41299117882919,8.294341201492276,6.38889857396883,4.987273804957985,4.779470729751404,5.595690526829609,3.0107039503504063,3.193863319386332,1.5822321397440815,2.076287437676511,2.501917578969388,2.6745929360900944,3.9900979742686795,2.428088281440675,1.1927757051706704,0.6349151005892403,0.640842369512918,0.6066734074823054,0.3824831770161431,1.2712248526899341,2.2621247515776997,4.9280011157212105,9.112304312959798,8.09734667549946,6.817405250862942
3,AL-SelSampling-LB-b0.2-,0.21336875167067632,75.08424277787643,9.438114906763374,15.065778304328543,14.169665726419975,16.087548402012878,3.648365099112273,3.0859375,1.5754843803329602e-07,16.087610264635124,12.439236479262417,30.02523847996872,25.724023541473862,18.00642621500397,21.83896596922961,23.61737777940025,12.46202806923194,12.685784898754815,7.133791675527955,5.034955961477923,11.10284862461013,13.861586860175317,10.329266691571513,7.663730733340239,5.211377676402917,3.996111778447614,2.620263451454517,1.9800952226519903,2.2679427757786947,5.46261441426271,10.89378288785366,12.390749115653747,13.054244125371437,25.308958193741233,30.03011634530005,21.202861465837113,19.769185183023378,15.40699576714431,18.96685152130702,19.259457958815695,14.446866307700176,14.451792984799562,17.348760364783175,9.950476440792936,13.615272116481652,14.683279828158811,12.089324717775256,9.551713819287006,10.134004803216502,11.980191920725463,10.315696515529904,9.126260634557756,9.444913262703484,13.194129805648164,13.62339286080768,11.702715370489397,9.45694824181183,17.877845128532186,22.473040414151,51.53969526864474,37.00882117080995,22.221331194867684,26.607858861267044,30.745789895749805,11.242983159583,11.5625,4.554931836407378,3.4081796311146753,9.711075441412522,13.744987971130715,9.703287890938253,6.712109061748196,3.5846030473135526,2.461908580593424,1.5316760224538895,1.1547714514835605,1.307137129109864,3.568564554931835,9.743384121892541,13.736968724939857,21.291098636728147,43.552526062550115,45.40497193263834,8.32537219762212,6.515811861511105,5.320944179073254,4.960078100484642,5.603361110142602,2.8904152574875352,2.9588563458856343,0.9581255883686064,1.3671071441023674,2.733073007461125,3.626093929779296,3.1376172378926817,2.750252780586451,1.4016247690108432,0.7806561835361389,0.5508873470241624,0.4790627941843032,0.560301244726474,1.0721383494299364,2.6083469892960496,4.575851609079181,8.861615703776017,8.707855374638262,6.815313273595761
4,AL-FixedUncertainty-BOLE-b0.2-,0.21337877572841485,65.8916608354744,0.0,,,5.159062871073451,4.123519363034522,1.325,1.7902798653166327e-07,5.159048382785352,1.0355355350510071,8.370158808984192,,3.47519767159923,,,,,,,,,,,,,,,,,,,,,,4.376180044750069,11.047510329107041,14.661185596484467,,,,11.225319396051102,6.249150096607723,3.345238095238095,4.148125996810207,,12.243893938578466,,,,,,,15.91269841269841,,2.20720590641755,7.333754395952463,17.67428141785183,20.413846177284668,96.80834001603847,4.450681635926223,2.461908580593424,4.033680834001603,1.0344827586206897,0.01603849238171612,0.13621794871794868,0.09623095429029671,0.024057738572574178,0.5698234349919742,0.8580593424218124,2.461908580593424,0.0,0.0,0.024057738572574174,0.024057738572574178,0.00801924619085806,0.040096230954290296,0.08019246190858059,0.2325581395348837,0.28869286287089013,1.9005613472333605,3.9775461106655974,4.290296712109062,92.54349569401347,0.7510198389177505,0.5149750706042326,0.7238241344444057,0.1764234161988773,0.025801052961891148,0.03905160390516039,0.036609602175656356,0.020571109793940244,0.22662296910954605,0.3287890938251805,0.7123182594749136,0.017433143893169696,0.0076705833129946666,0.010459886335901815,0.011505874969491996,0.01359785223667236,0.008367909068721454,0.020571109793940237,0.03382029915274921,0.1589902723057076,1.135594993201074,0.8071545622537568,0.6397963808793278
5,AL-VarUncertainty-BOLE-b0.2-,0.2091586474204758,66.02894393260557,0.0,,,5.63988753062157,4.102614046565423,1.3328125,1.8057324794224565e-07,5.639869018978883,1.5372630317067721,8.55557877357712,,5.098266921554535,,,,,,,,,,,,,,,,,,,,,,4.4803581920034485,12.164286100889006,16.082113481694243,,,,13.023845435610141,7.6423336710570755,5.059523809523809,5.6264778485124065,,10.39995571862348,,,,,2.159090909090909,,15.91269841269841,,6.89734630138504,8.076784572295898,18.151437927286672,21.408893056115364,96.00641539695269,6.094627105052124,4.025661587810746,5.4931836407377705,1.5156375300721732,0.20048115477145148,0.15224358974358973,0.18444266238973536,0.05613472333600642,0.7062600321027287,1.467522052927025,2.4137931034482754,0.0,0.09623095429029671,0.08019246190858058,0.048115477145148355,0.024057738572574178,0.08821170809943865,0.08019246190858059,0.53728949478749,0.8901363271852446,3.80112269446672,5.180433039294305,6.214915797914996,89.86297548899968,0.9246539520937207,0.7782155433910951,0.9012935392768732,0.26254314703113557,0.04811547714514836,0.041143654114365415,0.0509047801680555,0.023709075694710785,0.2778746252004742,0.5261322826958615,0.5505386841462989,0.02126843554966703,0.05683204909173321,0.022663087061120604,0.04358285973292424,0.023011749938983993,0.05474007182455284,0.026498378717617933,0.06589728391618145,0.2649837871761794,1.7889892263170744,1.0006624594679407,0.8455074788187302
6,AL-RandVarUncertainty-BOLE-b0.2-,0.21297781341887195,66.06429110302456,0.0,,,4.838281224549983,4.137466131909352,1.2890625,1.739985180190868e-07,4.83827853515103,0.7008129265142642,8.23535650160728,,2.472757618406428,,,,,,,,,,,,,,,,,,,,,,4.299594753453004,12.459163327110524,15.95116072156083,,,,10.023015873015872,6.578659523410906,,4.877252252252252,,9.445252762692173,,,,,0.9090909090909092,,16.468253968253965,,3.4452525637496736,8.219215022616687,19.528174063124915,20.8860968016917,97.93103448275863,2.7666399358460305,1.5156375300721734,2.325581395348837,1.1307137129109865,0.22453889334402563,0.14423076923076922,0.12830793905372895,0.024057738572574178,0.22471910112359553,0.3528468323977546,1.5477145148356055,0.0,0.0,0.0,0.024057738572574178,0.00801924619085806,0.040096230954290296,0.08821170809943865,0.33680834001603854,0.3287890938251804,1.7241379310344827,2.558139534883721,2.6944667201283075,95.12673895610337,0.4438478435201005,0.3019420522296991,0.3950350406192253,0.21407900700812382,0.06066734074823053,0.04428172942817294,0.08402775356507794,0.014992503748125937,0.057178718359947,0.11331543530560298,0.452215752588822,0.012551863603082181,0.007321920435131272,0.003835291656497332,0.009762560580175028,0.01534116662598933,0.010111223458038422,0.02440640145043757,0.04951012865660194,0.1352811966109968,0.8591053310554025,0.4773194797949862,0.3863184686726404
7,AL-SelSampling-BOLE-b0.2-,0.21332865543972201,70.3342568048262,0.0,,,5.009017369468618,4.1300425657473046,1.321875,1.7841289000999594e-07,5.009021651964715,0.8789782800452104,8.288506448802234,,3.342790714043511,,,,,,,,,,,,,,,,,,,,4.5844941570338955,5.430430037554008,4.328861465129613,22.21698101836828,16.83029461054514,,,,8.523261024072186,4.016670827438906,,2.625,13.775117264318897,,,,,,,,15.879365079365078,,1.981034838177695,5.664716920355858,20.818224675931358,22.173351335134207,97.57818765036087,3.7610264635124295,2.2213311948676826,3.2718524458700884,1.1387329591018447,0.10425020048115478,0.15224358974358973,0.20048115477145148,0.048115477145148355,0.02407704654895666,1.3953488372093024,1.2028869286287092,0.45709703287890946,0.0,0.00801924619085806,0.024057738572574178,0.18444266238973536,0.11226944667201284,0.08019246190858059,0.22453889334402563,0.10425020048115477,1.4434643143544508,3.047313552526062,3.4322373696872495,94.01624769010843,0.5229943167950909,0.41456016177957533,0.5711097939402392,0.19664586311495416,0.051602105923782296,0.05264993026499304,0.09797426867961365,0.019873784038213455,0.03277316784045743,0.3535441581534814,0.3863184686726404,0.15445765489348348,0.016387155259579515,0.006275931801541091,0.010808549213765211,0.08158711342003415,0.027893030229071508,0.02057110979394024,0.04846414002301175,0.0564833862138698,0.9368571528189396,0.5829643317875945,0.4619783131689969
8,AL-FixedUncertainty-DACC-b0.2-,0.017943063352044906,49.79001148073475,0.0,2.8552861231978484,2.1810794402101084,4.1335872761293775,4.168104835196246,0.75625,3.545793394247691e-08,4.1335872761293775,-0.03451610987843812,1.139845165541097,0.4604758250191864,,,0.15910898965791564,,,0.1587301587301587,7.983744100681696,,,,0.15360983102918585,,,,,,0.15760441292356184,0.4672897196261682,0.1579778830963665,,,,5.105467780627017,5.357142857142856,0.0,0.0,10.0,0.0,0.0,7.692307692307692,4.161968221424911,0.0,0.0,0.0,1.818181818181818,0.0,0.0,0.0,0.2941176470588235,0.0,4.545454545454546,8.10810810810811,5.263157894736842,0.0,0.0,0.0,0.6415396952686446,0.24057738572574175,0.0,0.0,0.08019246190858058,0.0,0.0,0.08019246190858058,97.67441860465115,0.0,0.0,0.0,0.08019246190858058,0.0,0.0,0.0,0.00801924619085806,0.0,0.08019246190858058,0.24057738572574175,0.08019246190858058,0.0,0.0,0.0,0.5184616993828668,0.18479132526759875,0.10459886335901816,0.0836790906872145,0.03137965900770545,0.0069732575572678795,0.04184100418410042,0.04183954534360728,97.78947735434609,0.08716268042674848,0.055786060458143036,0.0732192043513127,0.1882779540462327,0.10808549213765214,0.03137965900770545,0.0836790906872145,0.10564485199260835,0.05229943167950908,0.0732192043513127,0.11854537847355393,0.0627593180154109,0.0976256058017503,0.045326174122241214,0.048464140023011755
9,AL-VarUncertainty-DACC-b0.2-,0.21337877572841485,51.23773127606933,8.757286713214759,9.956966843321585,10.016452719696249,9.89841130315699,3.917447728257676,1.4703125,6.912458856176172e-08,9.898757016840415,5.9812459899507875,16.686742751982152,13.770913018710122,11.69487756279031,11.861606590148089,11.475277021657638,12.476626623388599,15.194911653193987,11.455866541375794,5.091530561363834,8.592447743512704,7.767894437260411,6.428357238005189,7.750395498667397,6.092752294405727,5.111534262158349,4.501251102610651,3.242645774638948,5.909888404662775,7.033947933520413,8.097485887863515,9.02015801512638,9.532617570852313,14.930478606827027,19.565269673616548,14.320963488291634,15.859994427972921,12.299839848941346,14.818714987553822,15.744304112081014,13.773690121928947,12.644947892804383,8.671281999289347,4.953838989075656,8.457156696237513,9.01490277507637,8.052145610837911,7.3364778206350705,5.686672282562286,5.30191573664204,5.427756572841361,3.9875275494288887,6.396873114277654,7.3021914998693775,7.8685443748004555,7.978942529717425,8.90914020171041,15.442285110604974,20.144757529529134,19.991980753809138,12.253408179631114,11.162790697674417,9.903769045709703,9.037690457097032,11.48356054530874,19.11858974358974,17.016840417000804,5.268644747393745,8.77207062600321,6.94466720128308,5.396952686447475,8.251804330392943,6.583801122694467,4.939855653568565,3.849238171611868,2.7425821972734568,5.533279871692061,6.792301523656777,8.364073777064956,10.376904570970328,10.256615878107459,14.466720128307944,19.05372894947875,5.19926083469893,2.857640946968376,3.4747742407865836,2.471671141173599,2.0930232558139537,3.1526097416408083,5.756624825662483,7.782852759666677,4.4119800564833875,4.117565023359599,3.103448275862069,2.6721522959450508,4.5270388061783065,4.757504968446009,3.8290157246957923,2.9294654998082357,2.8600815871134206,3.5239357065653225,3.7404553537184904,4.267284962170077,5.202050137721836,4.5545831735295135,3.4489731878246928,3.284752972351034
10,AL-RandVarUncertainty-DACC-b0.2-,0.21337543437583534,51.869541886088854,9.745370476677536,10.60447528097372,10.585205831321947,10.623966734039266,3.8859067113120958,1.4875,6.98943105008867e-08,10.62416466185512,6.738233004284917,17.68850056059958,15.392546276412281,13.194838725834268,14.618128065953917,15.863189229726942,13.774458552767445,13.813071011937671,10.051534447648221,6.245107995966677,8.942118117945324,9.73470637446097,9.568025742135891,7.4356559094154715,6.348822288940839,5.9352767076902495,5.3588444702721505,4.845519058760319,5.494407407671572,7.455529753233984,8.737477281996913,9.217420295123036,9.335998907512938,15.889070729568909,17.90026224817915,16.077858163838766,15.741904318942465,13.307006249185378,15.413051855281259,16.41739572242304,13.546654934441843,13.156280583360536,8.903575392324807,6.254640444860787,9.381114046463022,10.392766433396067,9.921658575651675,7.3586293466204555,6.105021146439048,6.106340819183802,5.808913064229473,5.723700218874386,5.775469698633765,7.616330472670915,8.497413538165006,8.677918463572801,9.377176047330133,15.943624134131113,18.54049628170618,19.743384121892547,15.172413793103448,13.167602245388935,14.01764234161989,15.404971932638333,14.041700080192465,14.607371794871796,11.659983961507617,6.2469927826784275,8.683788121990371,9.262229350441057,9.29430633520449,7.5541299117882925,6.696070569366481,5.8380112269446665,5.0040096230954285,4.21812349639134,5.260625501202887,7.369687249398557,9.05372894947875,9.927826784282278,9.374498797113073,15.974338412189255,17.401764234161988,4.482409957811791,3.536138907290541,3.7387120393291733,3.3691293887939744,3.410271608381855,3.908859523726509,4.208158995815899,5.245981660332625,4.059481886963495,3.638867582455896,3.4876747672675292,3.678393361458805,4.141417663261393,4.476831351765977,3.9343119138105367,3.5305603012447264,3.027788431365713,3.7401066908406264,3.9004916146577875,4.252989784177678,4.549353230361564,3.957672326627384,3.6553816115198208,3.330776472229002
11,AL-SelSampling-DACC-b0.2-,0.213258487035552,51.917325940897626,9.595109343432421,10.536726092650767,10.513913422228569,10.559860449128752,3.888694964300229,1.5203125,7.135079229354031e-08,10.560010692328254,6.671314203080051,17.566637535007153,16.230768684475763,14.15921001256233,14.105531620299345,15.603184695382572,12.84736206059883,13.652212311745382,9.36465188504985,6.098206987544089,9.231317389394938,9.832521613706959,8.302692666056265,7.5413646183979095,6.1320529605610075,5.467843217323486,5.0866923334304825,4.900310518809494,4.806800618624047,7.009431786735751,8.827514057570898,9.084960571532017,9.94742593028694,16.861774886043595,18.778101334574473,16.21207490240523,15.759465498564179,14.1142857532346,14.845574344107689,16.914415604558695,13.706296503047588,13.732413609594436,9.115505863281436,5.939926218803536,9.312720013246345,10.52222996103244,8.91639169586643,7.599457014968294,5.952409318948316,5.703344560434592,5.362846942915362,5.095007353545265,5.27800326302002,7.200227163984283,8.409318020021923,8.539150884146682,9.4141251424099,15.996532844724266,18.692199656624194,19.222133119486767,16.832397754611062,14.378508420208501,13.560545308740979,14.530874097834806,12.15717722534082,13.693910256410257,9.679230152365678,6.295108259823577,9.197431781701443,9.278267842822775,7.834803528468322,7.546110665597434,6.391339214113872,5.276663993584603,4.891740176423417,4.755412991178829,4.434643143544506,6.888532477947074,9.358460304731356,9.83961507618284,10.577385725741781,17.931034482758623,18.88532477947073,4.325162999895401,3.908510860848646,3.7972874028102233,3.3977197447787737,3.0961263554269376,3.331125135106865,3.7465132496513247,4.227537394093651,4.327952302918308,3.9000069730144338,3.431888706809386,3.490812733168299,4.010669084062619,4.377811094452773,3.8182071754820273,3.771835012726195,3.8223911300163875,3.463268365817091,3.887242425298979,4.454516927582721,4.616645165789199,4.443708378368956,4.1072487012307795,3.5744918238555137
