,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.204,74.78574185,10.7951142,36.51657693,41.3486513,32.69762198,14.21447982,53.0092,29.01906279,2.220246631,67.63340863,52.18906793,2.115747246,33.42205676,17.16142157,62.0709369,44.58041966,27.5657839,55.36469446,1.18847539,74.29855136,62.93424116,1.100730737,23.96611127,0.048201519,26.35865099,40.17404991,0.345558309,4.145938392
1,AL-VarUncertainty-LB-b0.2-,0.203999,74.87734708,8.152679388,38.04566147,43.83692163,33.62332898,13.76277814,54.3807,31.27755324,0.868218439,66.38474774,57.18085447,1.242347011,36.13827677,9.636674687,72.87739664,44.18966976,27.13024849,65.35061858,0.456182473,60.96993792,81.00568868,0.638238831,25.04659701,0.035697359,13.18035274,52.54355032,0.19251253,2.861777751
2,AL-RandVarUncertainty-LB-b0.2-,0.204,74.57251139,9.429863603,36.61854963,41.39138168,32.85183888,14.05211303,53.5751,29.81376771,1.444697817,67.90763379,53.86025716,1.68530786,32.82440809,12.47252696,64.6172796,44.48742343,26.66397261,58.7157058,0.768307323,71.56573358,68.25065582,0.871334752,22.80316295,0.041445239,22.75523105,43.73677599,0.286806669,3.440306215
3,AL-SelSampling-LB-b0.2-,0.203999,74.55409921,10.1845738,37.0295904,41.97615482,33.140113,13.99214272,53.7372,30.14289069,1.668136096,67.91335335,53.79899337,2.004797137,34.49628802,14.75645868,64.37613734,44.73558405,26.94661447,59.06597958,0.888355342,71.89113386,67.4928523,1.042456757,24.38576673,0.041546079,23.12061445,42.81204123,0.346679523,3.639832311
4,AL-FixedUncertainty-BOLE-b0.2-,0.193623,69.89947979,10.40321252,32.00843223,34.88769151,29.59542232,15.43642568,48.9004,22.6528774,3.217429263,62.9458705,50.0156137,1.977538973,21.3418703,11.08878263,60.33139252,41.35227542,18.03325511,43.63275187,1.908763505,66.99270232,63.82851416,1.051706595,14.19542502,0.132806276,25.58726847,46.93021355,0.574734552,3.957105535
5,AL-VarUncertainty-BOLE-b0.2-,0.204,68.20982077,11.99450334,31.78691364,34.49095259,29.53170817,15.57647269,46.8581,21.37864758,3.096332596,61.49231722,51.73816372,1.41800694,13.22026678,4.945200494,64.68631594,41.14299116,17.00627753,44.67397784,10.40816327,58.73815489,69.97376721,0.744611969,7.793843547,5.328183771,18.61985587,51.40738274,0.438843355,2.088097697
6,AL-RandVarUncertainty-BOLE-b0.2-,0.204,70.23994774,11.555016,32.40687504,35.4153729,29.9134252,15.31418072,49.0173,23.10769309,3.826425411,64.20083232,50.58074688,1.678627381,18.98700201,10.39269356,61.04296721,41.64404875,18.54563713,45.45151784,4.417767107,67.74915587,64.46605948,0.886134493,12.04800904,1.42335656,25.11505152,46.40670168,0.482346478,3.143447354
7,AL-SelSampling-BOLE-b0.2-,0.204,70.31392864,12.31663618,32.60114985,35.6047071,30.07769214,15.23752838,49.3299,23.51733649,4.078206466,64.61876,50.58257636,2.490052594,19.69143152,12.96577902,61.04278786,41.86416165,18.02806433,44.12274267,3.745498199,68.67116872,63.91693931,1.357876237,12.69697825,0.928938054,25.46131235,45.58019161,0.743477335,3.473722583
8,AL-FixedUncertainty-DACC-b0.2-,0.204,63.93358956,18.44654312,30.76620038,32.67675212,29.07081849,16.19103157,44.6759,18.55199155,7.454941575,59.31983375,45.32057069,10.11810117,23.89726967,18.91859253,56.71981658,40.2543123,16.15667644,31.33436276,4.657863145,62.17024289,51.84602234,7.365646101,19.31431799,0.170722115,27.53287186,39.51235754,4.633306798,9.105899508
9,AL-VarUncertainty-DACC-b0.2-,0.204,62.66981968,16.7410826,30.09268952,32.03416685,28.37625108,16.36423201,44.3809,17.73300803,6.002224223,58.28661273,46.05127201,9.196422359,21.79798347,16.98573475,56.49431719,39.76065885,16.01369943,30.91642403,3.673469388,60.20313691,54.71306039,6.454537046,16.83705168,0.145915476,26.91083507,42.56564709,4.103981433,8.094780971
10,AL-RandVarUncertainty-DACC-b0.2-,0.204,63.76531012,19.03072596,30.80554854,32.80171445,29.04011155,16.28930738,44.2683,18.06006953,8.666557989,58.69984035,45.0872185,10.02371929,23.98079204,20.73039375,56.56943391,39.9557715,15.98428519,30.76868788,5.510204082,60.99907417,51.73460666,7.30459717,19.65207568,0.177175875,27.18092168,39.92114782,4.655170481,9.512121028
11,AL-SelSampling-DACC-b0.2-,0.203996,63.63496888,18.4469602,30.67388656,32.79165308,28.81436866,16.3271942,44.1825,17.86802654,8.117208821,58.54562677,45.19681713,9.643784276,23.56898935,21.3348101,56.65337608,39.79355961,15.56897101,30.6075486,5.030012005,60.57156083,52.30612786,6.991027657,19.17311494,0.155898636,26.89945635,40.63490382,4.593503683,9.352208518
12,AL-FixedUncertainty-ARF-b0.2-,0.204,71.30104335,3.250541433,33.18145351,36.62328519,30.34758332,15.28920463,50.0016,23.89843147,,63.8147721,47.24014974,0.336054514,32.237516,1.575757576,54.67866716,42.74366654,23.59696624,60.52136845,0.024009604,76.64987474,52.85465853,0.169272038,22.04010167,0.01472264,36.90878058,36.37113496,0.064806198,3.086578771
13,AL-VarUncertainty-ARF-b0.2-,0.204,69.9762833,0,33.20982116,37.1174876,30.05758008,15.39881679,49.2328,23.2012197,,58.82106832,52.81367427,0.278687751,30.50681253,0,62.42770839,41.08898415,19.20251686,62.86822862,0,55.83324257,74.06667256,0.14059754,20.24738774,0.021277239,19.72485619,54.56873458,0.071645607,2.607570326
14,AL-RandVarUncertainty-ARF-b0.2-,0.204,70.93997566,0,33.00749293,36.66206022,30.01905637,15.29202382,49.9684,23.76050188,,63.46344323,49.52482346,0.36124641,27.85193239,0,56.95362248,42.05990559,21.25700155,63.03977147,0,71.68391243,60.24552716,0.182221811,17.98362045,0.01452096,31.46232379,42.63102932,0.082969873,2.269275169
15,AL-SelSampling-ARF-b0.2-,0.203999,70.89991512,2.944968769,33.59612123,37.41100953,30.50025599,15.1328457,50.4069,24.58166115,,63.82249587,49.81682598,0.417722816,30.34809955,0.5,57.76966213,42.25668504,23.83810053,62.69059994,0.012004802,71.34489707,60.7448345,0.210896309,20.18864727,0.0141176,30.30785764,42.64813161,0.079381987,2.614739656
16,AL-FixedUncertainty-MOOB-b0.2-,0.204,70.27760899,13.69073224,32.53169546,33.72181347,31.42334943,15.15493681,48.4549,24.03160479,1.736366971,62.88199219,46.29135472,6.933179287,36.56278828,6.852355163,58.99947913,42.30078433,20.20479249,40.25165626,0.996398559,67.31265657,51.11563062,4.18740172,33.5046597,0.115159277,27.14915608,35.80237011,2.005404254,10.70259433
17,AL-VarUncertainty-MOOB-b0.2-,0.204,71.47137268,13.61447033,34.08852123,36.34051479,32.10281658,14.72900186,50.3335,26.22216438,1.752546864,63.67876998,50.96032501,6.707961918,35.44318607,6.998505427,63.92306149,42.58802846,21.59701232,46.59596624,1.020408163,63.45441673,63.44828603,3.979280363,28.61169161,0.121814717,20.79129528,43.92883629,1.743824911,7.059238107
18,AL-RandVarUncertainty-MOOB-b0.2-,0.204,70.45270165,12.70089796,33.13504722,34.70802404,31.71203739,14.96808381,49.3268,25.01765974,1.17292025,64.0365722,46.86318933,7.129688737,36.58223606,8.300350855,59.23729481,42.7780895,20.55962916,42.66475587,0.660264106,69.69475003,51.83040057,4.323374341,32.05139791,0.091260197,27.8407295,35.60864498,2.021213378,9.278570995
19,AL-SelSampling-MOOB-b0.2-,0.204,70.26517817,13.80732646,33.02138496,34.50467856,31.69368499,15.01033492,49.1066,24.78770469,1.629426112,63.81374291,46.66783445,7.660901276,36.50078815,8.068531615,59.15272616,42.66534531,20.10592497,42.53086473,0.924369748,69.28166866,51.51531229,4.754416798,31.99265744,0.118486997,27.77229913,35.55113284,2.302750339,9.307005286
20,AL-FixedUncertainty-MUOB-b0.2-,0.026675,51.31636392,6.721072474,,,20.83786356,19.78280404,33.5626,0.979321653,0.572815905,,,,,0.326408077,,,,,4.549819928,13.13119486,83.05243611,1.257053002,2.198813894,2.976897557,11.06169796,82.78616076,0.975344493,1.113919436
21,AL-VarUncertainty-MUOB-b0.2-,0.203999,62.41057599,27.75065386,28.87972778,27.38933497,30.55261668,17.91420171,32.1822,9.565225301,4.388810871,44.63135643,34.99092637,12.23580861,24.79843718,2.315306354,54.02533062,35.94407641,13.50510217,31.15685929,43.51740696,40.29299641,34.98835736,12.49468134,21.46964134,15.80142588,21.20171945,32.14838134,9.96210295,10.45737894
22,AL-RandVarUncertainty-MUOB-b0.2-,0.204,63.27770173,28.63861153,28.99077432,27.04887191,31.25677504,17.79944673,32.4636,10.03198051,4.661886344,46.50024652,33.98703941,13.50274142,25.16565174,2.45936011,53.63619137,36.16258097,13.95969064,29.02653645,44.90996399,41.80018517,32.95870546,13.42891499,23.18610562,15.00055462,21.36275997,29.96246576,9.990245434,12.68120785
23,AL-SelSampling-MUOB-b0.2-,0.204,62.79144037,27.55795542,28.66337792,27.15806773,30.36945086,17.71608636,32.2151,10.31970515,3.980692859,47.04640449,32.40652531,12.47256233,26.3734302,2.093794814,54.48364599,36.72894812,14.2759744,28.20797532,41.16446579,42.60401917,30.53320364,11.31625197,26.22931375,16.58081822,21.34932676,27.27150273,8.333763132,15.04502096
24,OALDI-b0.2-,0.447001,73.19423282,26.53139905,39.17815643,43.73250819,35.48860652,14.50990499,50.9925,27.16900701,24.91407146,65.92475045,51.33615772,12.64561728,28.15088099,43.7169367,62.57028507,44.43400256,25.43505676,42.50625984,17.515006,69.672149,60.78668907,8.419202664,21.04998588,0.190890115,24.20269929,39.03697426,2.993194228,6.125767058
25,OALE-b0.2-,0.435506,78.60936785,15.74690919,43.65265688,53.14723222,37.04550038,12.44961778,58.743,37.8666556,5.500197536,73.85470938,58.56419877,3.702570087,40.85457753,39.42586086,71.8011421,48.15233394,39.92535415,66.43147007,2.965186074,76.03011655,74.72956642,1.944315974,29.55831686,0.039025079,17.3302674,41.33261695,0.353518932,3.19266055
26,CALF-MID-b0.2-,0.2,79.15619159,18.02019277,42.27698315,45.58488385,39.42085904,12.00862892,59.4604,40.08594628,2.364228438,72.06400064,58.48513054,10.03508848,54.26274231,12.7838025,71.36697452,50.22034584,29.14281274,64.41048367,1.308523409,72.78863958,70.02151679,6.073443715,46.9121717,0.074823278,16.96172324,35.64754136,1.786543184,5.572513518
27,AL-FixedUncertainty-LB-b0.25-,0.25375,74.86018111,9.993184425,36.93076077,42.45202385,32.69062488,14.15477611,53.2801,29.31293151,2.175551904,68.07058654,52.59196017,1.548554715,32.56924016,24.55472963,62.4844767,44.67221945,23.6834762,56.86521727,1.140456182,74.75601786,63.92872933,0.801035982,22.82688506,0.029949479,26.0514255,40.65700059,0.313043088,3.722461875
28,AL-VarUncertainty-LB-b0.25-,0.25375,76.07467921,8.852344647,39.86216267,46.20844552,35.07014758,13.24799537,56.0511,33.94644775,,67.70617544,58.48406592,1.992184499,41.58270112,9.884203683,74.76304909,45.32986807,31.40977857,69.65532819,0.348139256,61.87343427,82.40280602,1.031356951,29.69500141,0.027932679,12.12687275,51.0433914,0.270773302,2.771006744
29,AL-RandVarUncertainty-LB-b0.25-,0.25375,75.0512089,10.02699495,37.08948874,42.06956777,33.17689356,13.91602197,54.0459,30.50513908,1.824082624,68.45039857,54.26845504,1.739532563,33.21140412,14.40481903,64.79506534,44.95251172,26.15133535,60.0441074,0.984393758,72.55092038,68.46169717,0.901859217,22.98559729,0.048806559,22.88355775,43.0531382,0.30777338,3.286833951
30,AL-SelSampling-LB-b0.25-,0.25375,75.38708703,9.012447805,37.13272995,41.84196124,33.39029317,13.85275342,54.2196,30.85922968,0.939605216,68.51143768,54.04277595,1.888387663,35.35890881,10.73560282,64.48658513,45.17023212,29.10019854,59.71718759,0.492196879,73.08299749,67.26442067,0.97770789,25.1341429,0.036705759,23.36810165,41.9289271,0.285461212,3.644571359
31,AL-FixedUncertainty-BOLE-b0.25-,0.25375,72.58713014,9.781498124,33.35253002,36.5060727,30.70965818,14.84782942,50.9351,25.59940977,2.99008546,66.72251055,50.93904583,1.463166157,22.78966401,14.41372565,61.63259919,42.6672486,17.86674956,45.95004048,1.680672269,72.73581309,63.19804286,0.764036629,15.16972607,0.080268638,26.28705986,43.60389266,0.423706959,3.844218968
32,AL-VarUncertainty-BOLE-b0.25-,0.25375,68.81642978,11.79693907,32.48431498,34.86978934,30.53019008,15.48965632,46.9236,21.69874351,3.231528734,62.05959483,52.03187543,0.986590951,11.68175061,4.762830765,65.75710299,41.32014783,16.35806459,46.15080055,16.02641056,58.8694042,70.51876087,0.510591065,6.725783677,6.202264866,17.78620646,51.43992251,0.307997623,1.711890151
